User,Reter,Comment,Votes,Time,Count
@枸橼酸,,上帝视角可还行,3424,2019-10-02 10:39,9
@天蓝1112,,太牛了！你说这是摄像头我都信！,2052,2019-10-02 10:38,18
@矜持小女孩儿,,哇哦~跟我在月球上看到的差不多哎。,1423,2019-10-02 10:40,21
@昵称修改次数,,卧槽，收音这么好？,858,2019-10-02 13:00,1
@木子欣-思,,厉害了我的长光卫星！,718,2019-10-02 10:38,2
@致我们,,嗯 这颗摄像头像素也还可以,447,2019-10-02 10:40,2
@蔚蓝新海Vincent_1998,,看到直升机飞过，才知道原来这个不是图片。,430,2019-10-02 10:41,10
@我只害怕一样,,给自己人看的还是给别人看的,195,2019-10-02 10:44,1
@东海小公举,,还是看直播过瘾啊，这太空礼物都看不到啥,153,2019-10-02 10:41,5
@haha_gudu,,这个礼物太震撼了,126,2019-10-02 10:38,1
@开心猫咪的开心猫猫,,听着就很震撼！这个视角配声音别有一番韵味！不过还是喜欢近距离的视觉盛宴！,55,2019-10-02 10:44,2
@三無吐槽师,,我爱阿中哥哥。,50,2019-10-02 10:38,4
@清哥v青哥哥,,壮观。漂亮。,29,2019-10-02 10:39,7
@今天小葵睡饱了嘛,,震撼！,6,2019-10-02 10:39,1
@Hzouy-十七,,超赞！！！为祖国感到骄傲,6,2019-10-02 10:38,1
@太阳照耀着小鞠618,,好壮观！！,2,2019-10-02 11:00,1
@空羽者,,厉害了我的国！,2,2019-10-02 10:58,1
@婉瑶公主,,震撼,2,2019-10-02 10:46,1
@莹莹的爱可,,实名制羡慕了 。,3,2019-10-02 10:45,1
@百因必有果你的报应是我,,我以为外星人送的啥东西呢。。！！,2,2019-10-02 10:42,7
@企鹅岛上的Star,,,2,2019-10-02 10:42,2
@姜雨南,,哇塞 收音效果太好了,1,2019-10-02 14:47,3
@RouRou今天瘦了吗,,太棒了我的国,1,2019-10-02 14:26,1
@繁花折思,,这像素，作为一个卫星，能这样已经不错了，还想跟无人机似的什么都让人看清吗,3,2019-10-02 11:06,1
@魏泽楷,,太壮观了！,1,2019-10-02 10:57,1
@没蜡笔的小辛吖,,厉害了我的国,1,2019-10-02 10:40,8
@父母的bot,,中国牛逼,1,2019-10-02 10:40,1
@小仙女的棉花糖,,哇哦,1,2019-10-02 10:39,1
@炼狱里的重生,,我第一？,1,2019-10-02 10:39,1
@啊哈爱吃橘子,,哇，好棒,1,2019-10-02 10:39,1
@王薏粥,,爱了爱了,1,2019-10-02 10:38,2
@921派种花者,,哇哦,1,2019-10-02 10:38,1
@曾闯1997,,太牛了，就像座机画质一样,1,2019-10-02 15:07,1
@龘龘龘冒蓝火,,终于知道北京雾霾干啥用的了，防止歪果仁来自太空的偷窥,1,2019-10-02 14:50,1
@从未然后,,这次没有去到现场是我非常大的一个遗憾,1,2019-10-02 13:21,1
@顾小眄,,响彻云霄的声音！,1,2019-10-02 12:59,1
@丶丶BETTERMAN,,Bgm强,1,2019-10-02 12:47,1
@2019南南南,,可怕，卫星看的这么清楚，以后什么导弹，航母啥的美帝不是知道在哪了,1,2019-10-02 12:11,1
@垦荒小小新,,还能清楚录音！,1,2019-10-02 11:14,1
@Jayair,,“开始“后面那嗓子喊的什么啊,1,2019-10-02 11:08,1
@小白很萌啊,,最后3秒“吉林一号FROM长光卫星”，所以那些问谷歌地图的，到底点没点开，看没看？,1,2019-10-02 11:00,1
@清风闲逸xy,,转发微博,1,2019-10-02 10:42,1
@是他家小主啊,,只能是 卧槽 厉害了我的国,1,2019-10-02 10:40,1
@我只是个段子手,,像素有点,0,2019-10-02 10:39,1
@miss__歪歪,,棒棒,1,2019-10-02 10:38,1
@愚民赵某某,,最热烈的爱给予我的祖国母亲！,1,2019-10-02 10:38,2
@愚民赵某某,,来自太空的礼物！,1,2019-10-02 10:38,2
@Lucky晛,,收音太好了,0,2019-10-03 13:57,9
@胆小的花花,,厉害,0,2019-10-03 09:34,1
@寺铎别离,,哇!好厉害!,0,2019-10-03 01:12,1
@Kinff·Shaw,,高糊,0,2019-10-02 22:35,1
@律师李耀东,,牛，以后都要遵纪守法，不要干坏事儿，卫星都看着呢,0,2019-10-02 22:33,1
@丁字社,,故意的，其实还可以调更清晰，因为是五米,0,2019-10-02 19:50,1
@_似是故人去,,我的天哪这个清晰度和收音,0,2019-10-02 19:49,1
@飞奔的猪小花,,声音也能听见呀？太牛了,0,2019-10-02 18:45,1
@果糖果蜜,,,0,2019-10-02 17:25,1
@啊啊啊佳酱呀,,卧槽……北斗牛逼,0,2019-10-02 16:58,2
@T先森的J小姐,,我看不清哈哈,0,2019-10-02 16:11,1
@你长得像我的猪啦,,震撼,0,2019-10-02 16:10,2
@阳光奶糖_杨紫紫米拒绝真人cp,,吉林一号，骄傲,0,2019-10-02 15:57,1
@妖眯柯迪达,,转发微博,0,2019-10-02 15:51,1
@HONGYVE,,神奇！【国庆#阅兵#来自太空的礼物，#太空见证历史#】世界奇妙无穷！美哉！,0,2019-10-02 15:46,1
@倚门回首-爱兔,,,0,2019-10-02 15:43,1
@剑意斩桃花,,我看到了吉林一号！,0,2019-10-02 15:40,1
@卿卿是喜欢卿卿的卿卿,,哇哦,0,2019-10-02 15:37,1
@小眼睛的JOJO张,,厉害了！！,0,2019-10-02 15:27,1
@高山景行的天空,,突然觉得上世纪美国就会用卫星窥探各国军事动态，现如今卫星遥感勘测测绘在我国都是很普通的技术了,0,2019-10-02 15:25,1
@靑玦_,,#太空见证历史#,0,2019-10-02 15:23,1
@枫木了了_Archer,,牛掰格拉斯,0,2019-10-02 15:21,1
@女汉不强何服天下,,好厉害,0,2019-10-02 15:17,1
@forever爱FISH,,想看画面渐渐拉远的场景,0,2019-10-02 15:14,1
@11夜晚星,,赞赞赞,0,2019-10-02 15:05,2
@超可爱的裤裤哇,,太壮观了！！,0,2019-10-02 15:03,3
@嘉远喵喵喵,,@璞匤,0,2019-10-02 14:54,1
@被时间眷恋的人,,排面,0,2019-10-02 14:48,1
@火星一枚小呆橘_yu,,太酷了！,0,2019-10-02 14:46,1
@貓不可及,,我信,0,2019-10-02 14:46,2
@该用户已经宕机,,这其实只是对着场景拍的，都是假的，我们哪来的卫星,0,2019-10-02 14:38,1
@SubsidenceYI,,,0,2019-10-02 14:38,1
@爱鹿柒柒,,转发微博,0,2019-10-02 14:38,1
@吃顿火锅降降火,,,0,2019-10-02 14:32,1
@一LELE,,这可能是华为的摄像头,0,2019-10-02 14:26,1
