User,Reter,Comment,Votes,Time,Count
@除了我不是猪,,得亏新娘瘦,7243,2019-10-02 16:26,1
@请填写昵称0124,,无可厚非，能理解。我在宿舍看的阅兵，总理说全体起立的时候我也起立了，那些在教室或者实验室一起看的也起立了。庄严肃穆更好 但是不强求，没啥过不过了的。,6217,2019-10-02 17:16,1
@我要更改昵称,,国人应该有的反应，你们却说人家演过了。你们真是恶毒,4657,2019-10-02 18:11,1
@寧靜的小时光,,评论这么多恶意……,373,2019-10-02 18:06,1
@神奇de馒头,,过头了,193,2019-10-02 16:33,1
@一只猪蹄丶,,满满的爱国心,215,2019-10-02 16:27,13
@SiuChiBB,,只要不妨礙交通，我覺得還好，很有意義啊,179,2019-10-02 17:17,1
@妈咪SUN,,国人应有的反应,137,2019-10-02 16:29,1
@巽彩,,这不是国民该有的反应吗？没有国哪儿有家？杠啥杠？？？,141,2019-10-02 21:31,2
@肥皂妞,,发现结婚证里，他俩是同年同月同日生,107,2019-10-02 16:40,1
@喂你恰柠檬,,杠精们，你妈好吗？,118,2019-10-02 17:02,1
@LionHeart丶FY,,说演的人,71,2019-10-02 21:50,4
@Sarah_莎莎,,正常反应啊，学生时代听到国歌第一反应都是停下脚步站好，音乐放完了才会继续走的，干嘛杠人家,65,2019-10-02 21:25,1
@甜甜甜酱仔,,就问累不累,29,2019-10-02 16:26,1
@雾岛啊,,杠精真多，自己不做就别酸别人的行为。每个人都有自己爱国的方式，不需要你效仿，但请你尊重！,59,2019-10-02 21:29,1
@背氧气罐的白鲸,,梦回1975,22,2019-10-02 16:41,1
@巴布里亚娴,,这评论怎么乌烟瘴气的，我自己在家还起立唱国歌呢，这是那种骨子里的敬重吧,48,2019-10-02 21:29,1
@大大梅啦,,我以为是行礼，人家只是注目礼有什么好过的鹅,39,2019-10-02 20:57,1
@穿花衣的小丸子,,论筛选评论的重要性，就该把那些脑残键盘侠过滤掉！污染空气,49,2019-10-02 21:37,1
@我心亦然,,国外这种情况就说爱国，说国人做不到。现在宣传了，有带头作用了，又开始冷嘲热讽，我真的是服！,29,2019-10-02 23:02,1
@李大头0,,如果真的是下意识德我觉得比装更可怕。爱国不是这样子。,20,2019-10-02 17:27,1
@是你的OTP,,评论真的是服了 你们是袁爷爷让你们吃太饱了吧？这你们都能杠？,37,2019-10-02 21:56,1
@月下独酌松江畔,,大家小家一起爱,26,2019-10-02 17:45,1
@清平调上曲,,这评论什么情况，这不是很正常的事情吗，运动会在场外和室友疯闹，国歌响起来那一刻立刻安静行注目礼,28,2019-10-02 21:33,1
@堆糖薇,,品论恶意满满的，不出意外不是海外就是其他，我们国庆呢，您不高兴飞机回家呗,33,2019-10-02 22:00,1
@后生ATing,,...评论真杠,18,2019-10-02 21:55,2
@最爱nee现,,以后孩子的好榜样,17,2019-10-02 21:23,1
@这是一个善良的ID,,看到评论区一群杠精微博学历我感觉很可怕，国家九年义务教育就培养了你们这群人，别人的爱国方式你接受不了也不能诋毁啊，每个人有不同的爱国方式，可是你们这群杠精真的是病态,24,2019-10-02 22:28,1
@译人吕鹏,,非得抢祖国七十周年的风头,10,2019-10-02 16:33,1
@岁月如花66,,仪式感,11,2019-10-02 17:36,1
@丶吸猫有害健康,,不强求你这么做，但也没必要酸别人，什么过不过，爱国是每个公民的义务…,13,2019-10-02 22:37,1
@梦晨198710,,对于这个国家的感情，对于这片土地发自内心的热爱，这种极度深沉且厚重的感情，是因为其背后中华文化所承载的家国情怀，是西方那种极度自我的狭隘利己主义所不能比的，对于这些因自身见识浅薄，格局狭窄的西方世界所无法理解，但却让他们感受到恐惧的力量，他们总是会以作秀，洗脑等浅薄的智慧去抨击。,19,2019-10-02 21:31,2
@--Dyn--,,祝福你们！,11,2019-10-02 16:26,1
@我吃屎你吃吗,,戏精附体的最近很多哦,4,2019-10-02 21:57,1
@JS农民,,新娘应该下来行注目礼！,7,2019-10-02 18:23,1
@密林肥田,,多余,3,2019-10-02 16:49,1
@造型设计师-阿文520,,祝福,2,2019-10-02 21:49,1
@别把我当猫1,,新娘为什么不下来？比升旗重要吗？做秀真点行吗？,5,2019-10-02 17:30,1
@剩斗士9102,,国歌给了新郎力量,2,2019-10-02 17:07,1
@芒果可乐三分糖,,我本来边看阅兵边吃东西，后来停下来认真看了,3,2019-10-02 22:37,1
@泼妇爱你MSN陪哦,,得亏没下雨,2,2019-10-02 16:45,1
@EJUN-,,再一次逛这条微博，天哪评论都是些啥啊...真的无语了，这种事很正常啊，有必要酸人家吗？阅兵那天我也在家客厅特地站起来唱国歌行注目礼,2,2019-10-03 08:55,2
@波罗的嗨语,,惊了 这不是盱眙吗 车站那,1,2019-10-02 21:54,1
@EJUN-,,评论蛮搞笑的,5,2019-10-02 21:30,2
@孑婪_,,有些人心理也太恶毒了吧？我听见国歌也会下意识的站住啊，这不是一种很平常的反应吗,1,2019-10-03 08:54,1
@酸哦泡果奶,,杠精可以走了，我们这里是发自内心的爱国区，难道听到国歌不应该肃然起敬吗？一看你们就是不爱国，还说人家过？,1,2019-10-03 08:34,1
@H饮饮饮,,说实话，听到这声音就不由自主的会站好，然后行注目礼,1,2019-10-03 08:24,1
@铁锤妹妹yccy,,多么正能量的事儿，咋就让一些键盘侠给扭曲了，这都有人喷，那您可真是屎坑出来的了,1,2019-10-03 08:14,1
@健康是福不是祸,,咋的，我在家边看阅兵边化妆呢，我粉底液还没铺开呢让起立我也起立了，跟着唱完国歌我才继续坐下化妆，有啥可作的 ？自己做不到的事情就觉得别人做起来很作，这种人真的很自我诶,3,2019-10-03 00:07,1
@丸子再好吃也要被我吃掉,,新娘新郎同一天生日诶 祝福祝福,1,2019-10-02 23:06,1
@陈松瑜lynn,,真的是一种本能,1,2019-10-02 22:30,1
@易_xxxx_易,,说过的都安息吧,5,2019-10-02 21:55,1
@今思雪霏霏,,瘦 很重要,1,2019-10-02 17:24,1
@李大民的幸福生活,,可以敬礼啦,1,2019-10-02 16:56,1
@爱吃咸虾酱的黑咖啡,,升旗国家大事，结婚先放一放。,1,2019-10-02 16:47,1
@给您送帽子的人,,超赞………,2,2019-10-02 16:45,1
@清清清xxyy,,人家就需要这种，别嫌过,2,2019-10-02 16:38,2
@红艳艳23333,,在家看，总理说起立，我也从沙发上起来了,0,2019-10-03 09:29,1
