User,Reter,Comment,Votes,Time,Count
@寂燃梧安juve,,你看皮队还没有正式宣布退役 总觉得你还是个大男孩 怎么突然间就宣布挂靴呢 那个一直略微有些忧郁的阳光大男孩 从七岁就在尤文的小王子 愿往后余生 衣襟带花，岁月风平 ,26,2019-10-03 21:48,2
@笃尤尤,,皮耶罗都没宣布退役呢，骚马你这是何必呢,19,2019-10-03 21:59,1
@阳光海风66,,‘’我的梦想在我加盟尤文一线队时就实现了‘’  ‘’正如我说过的，我不会加盟意大利其它球队‘’ ,18,2019-10-03 22:05,2
@非常forzaj,,尤文青训最成功的人了,13,2019-10-03 21:51,1
@心如南凩,,说真的 要不是欧洲杯前的大伤，马绩效说不定能带意大利走更远,13,2019-10-03 21:54,1
@斑王子10,,今天刚结完婚   你也宣布退役了 黑白⑧,7,2019-10-03 21:53,1
@Coolfork洪海涛,,皮耶罗~马尔基西奥~乔文科~迪巴拉……有甜蜜感属性的球员，买球衣印号的首选，喜欢你们，尤文图斯人,6,2019-10-03 22:18,1
@Treebute,,祝福我家酱油马，对国米踉踉跄跄的那个进球印象太深刻了,5,2019-10-03 22:25,1
@我想回家吃不翻儿,,再见了，一起长大的人啊！,4,2019-10-03 23:16,1
@ss_Juve,,,4,2019-10-03 21:56,1
@Mrs_Marchisio,,,3,2019-10-03 22:08,2
@Shan小山,,骚马要不是伤病，现在应该更骚，可惜,3,2019-10-03 22:04,1
@海阔天空任飞翔-516,,哪怕你状态不好 我都不曾埋怨过你，你就是旗帜，你就是黑白的象征，你代表着忠诚，祝福你！我们的小王子！,2,2019-10-03 22:31,1
@蝌蚪超人,,祝愿未来一切顺利！欢迎回家！,2,2019-10-03 22:00,1
@寂燃梧安juve,,,2,2019-10-03 21:45,2
@快剑追魂,,小王子，我的宝贝，为什么这么早就宣布退役啊，我还在等一个做梦的机会,1,2019-10-04 00:13,1
@Jingyiiifu,,再见，永远的斑马小王子。,1,2019-10-03 23:22,1
@katjadjm,,谢谢小马哥为尤文的付出，你永远是我们的小王子！尤文永远是你的家！,1,2019-10-03 23:00,2
@一生黑白情,,真蒂尼，真王子，向你致敬,1,2019-10-03 21:46,1
@有事儿可乐,,尤文的队长必须要根儿红苗儿正 可惜现在没有了,1,2019-10-04 07:57,1
@浅水中的脚还没有变成鱼,,稳定、顽强、才华，他代表着尤文的DNA，是青训最好的代言人。,1,2019-10-04 06:44,1
@3月的尤文蒂尼,,难说再见,1,2019-10-03 21:59,1
@徐徐Juve,,再见,0,2019-10-03 21:54,1
@尤吹自重,,青训三杰都好鸡儿坎坷,1,2019-10-03 21:50,1
@爱生活爱尤文图斯,,永远的小王子,1,2019-10-03 21:50,1
@我的射门像特雷泽盖,,,0,2019-10-04 10:52,1
@派大越的头枕着TOBY,,真的哭了,0,2019-10-04 01:32,1
@神绫,,祝好，克劳迪奥，永远的小王子,0,2019-10-04 00:03,1
@爱玩大便的阿拉蕾ARALE,,7岁进入尤文青训营，见证了你从青年队到一线队，再到退役，也见证了自己的青春，希望以后能回尤文任职。,0,2019-10-03 23:44,1
@徐励,,Life is a matter of black and white,0,2019-10-03 23:26,1
@katjadjm,,谢谢小马哥为尤文的付出，你永远是我们的斑马王子！！！尤文永远是你的家！！！,0,2019-10-03 22:58,2
@RealStany,,皮队以后唯一的王子 干嘛这么着急啊 别退役让我们假装你还在多好 ,0,2019-10-03 22:42,1
@TheGodlyLuo,,,0,2019-10-03 22:25,1
@苗霖66,,祝君好运！,0,2019-10-03 22:09,1
@老范老范小范小范,,离别时刻,0,2019-10-03 22:04,2
@老范老范小范小范,,,0,2019-10-03 22:04,2
@OneFit左敬Paris,,Thank you so much for these years！,0,2019-10-03 21:59,1
@红男爵重生了,,真难忘，总以为还是那个27岁的马尔基西奥,0,2019-10-03 21:47,1
@straightforwardzl20,,。。。。。。。。。,0,2019-10-07 13:47,3
@漆黑的感觉,,塔队副之后的尤文之子,0,2019-10-04 10:33,1
@老刘公纸,,,0,2019-10-03 23:36,1
@熊猫上炕盘鲸鱼_R,,求问BGM是什么,0,2019-10-03 23:35,1
@落寞朝南,,小王子，再会,0,2019-10-03 23:35,1
@回忆不及时光,,转发微博,0,2019-10-03 23:34,1
@都灵的黑白,,自己家的孩子,0,2019-10-03 23:32,1
@情绪化走肉,,,0,2019-10-03 23:16,1
@Ronaldo-Messi,,怎么这就走了……马绩效为什么？,0,2019-10-03 23:15,1
@秦关汉月163,,祝小王子未来一切安好,0,2019-10-03 23:01,1
@脑瓜子嗡嗡的电影工作者,,马尔基西奥退了。出道时，完全没想过此人能踢出来。结果多年过去，回头看，重要的时刻他从未给尤文掉过链子。15年欧冠决赛，那记脚后跟，真是美好回忆啊。,0,2019-10-03 22:59,1
@RACE3363,,永远的黑白。。英雄终有迟暮之时，抵不过时光的 蹉跎,0,2019-10-03 22:46,1
@汪巧仂,,永远迷人的小王子,0,2019-10-03 22:36,1
@-悟天克斯,,上件尤文球衣就印的8号,0,2019-10-03 22:25,1
@傅爷,,麻小牛逼,0,2019-10-03 22:22,1
@Bambinoooo,,愿前程光明，一路平坦,0,2019-10-03 22:20,1
@风雨无阻Prime,,再见小马哥～感谢一路上有你～,0,2019-10-03 22:16,1
@活得像株油菜花,,很幸运能够见证他的整个职业生涯，这么多年来最爱的球员，再见小王子，未来祝好,0,2019-10-03 22:15,2
@活得像株油菜花,,这十年来我最爱的球员退役了,0,2019-10-03 22:13,2
@正二位内府源義宗,,肝胆忠烈马绩效，永远的8号！,0,2019-10-03 22:10,1
@笑笑笑忘歌_,,祝君好运,0,2019-10-03 22:05,1
