User,Reter,Comment,Votes,Time,Count
@唐之韵宋之魂,,每一位被当做吃软饭的男人，终有一天会证明自己，例如杜江，例如张晋。,1588,2019-10-04 13:20,1
@Bellevue小鱼儿,,疼老婆的男人真的会事业长虹，子女孝顺懂事。,1304,2019-10-04 13:20,1
@Yeesir__,,杜江真的是演艺圈里少数的不浮不躁的好演员了,626,2019-10-04 13:20,1
@热情买账z,,歪个楼，嗯哼真的超可爱！！求大家都去b站看他金桔合集,167,2019-10-04 13:20,1
@iSloven,,初认识他，还是在/艰难爱情/里，主演邓超，车晓，杜江演的女主前男友，被男主横刀后，从一个阳光朝气的大学生男孩变成了一个心理扭曲报复的阴鸷角色，演的可以。,65,2019-10-04 13:33,1
@迪子衿,,他真的很正气,32,2019-10-04 13:21,1
@致我们那喂了狗的青春,,相由心生，一身正气！,30,2019-10-04 14:53,1
@春风十里不如瑜,,正气都长在脸上，活该你被人喜欢,32,2019-10-04 13:21,1
@天天天要上天,,看看帅哥 评论配图,33,2019-10-04 13:19,1
@Liangliang爱喝牛奶,,这么一说突然发现，从没觉得看杜江会出戏,22,2019-10-04 16:02,1
@赵烨磊的小宝贝,,支持嗯哼爸爸！！,20,2019-10-04 13:23,1
@寿Cc,,第一次认识他是爸爸回来了 看他的戏是高跟鞋先生,25,2019-10-04 13:42,1
@Amy翩跹,,杜江  李现  欧豪  都很棒,24,2019-10-04 13:32,1
@説呢,,攀登者！中国机长！我和我的组国！都看了，还是中国机长最好看，值得一看。二刷。,18,2019-10-04 13:37,1
@杜昱雪,,我抱过他,6,2019-10-04 13:20,1
@司青_,,我知道他的时候好久了，钻石王老五的艰难爱情。好喜欢,9,2019-10-04 17:07,1
@王雅琪06,,好男人的标准是什么,6,2019-10-04 13:20,1
@好大一颗橙_,,他真的好适合制服啊！,10,2019-10-04 13:21,2
@梁春宇喜欢白敬亭,,他演的每个角色，都会让我自动忘记他之前所塑造的角色,11,2019-10-04 17:51,2
@彭涓Young,,他很好，从青年医生开始,5,2019-10-04 14:41,1
@七月新号,,好演员好丈夫好爸爸,4,2019-10-04 13:27,1
@SelinaY-,,真的太帅了,5,2019-10-04 13:28,1
@如影随行-L,,看好他，长得刚正，好像也是东北人,1,2019-10-04 17:55,1
@天骄·风景,,第一次看他是在李晨、霍思燕主演的《草帽警察》里那个阔少爷。还有谁也是？ 评论配图,1,2019-10-04 14:52,1
@佳喵呜,,连带着嗯哼小小年纪也是一脸正气的模样,4,2019-10-04 13:55,1
@iosonoio,,刚认识他的时候因为艰难爱情里的那个 郝良 ,4,2019-10-04 13:22,1
