User,Reter,Comment,Votes,Time,Count
@天际丨行者,,我爸也算半个民航人，他跟我说，事后民航总局用模拟机模拟了不下十次，结果全部都是坠毁,13157,2019-10-03 19:18,1
@是坚果的麻麻,,去年知道这个新闻的时候真的想象不到当时情况多么危险，看完电影了解全程，觉得机长和机组人员太难了，这不是奇迹，而是靠机长工作素养！太棒了！真的是英雄,594,2019-10-03 19:18,1
@HuoIvan,,首先零下四十度的温度真是不敢想，在这种情况下还能万无一失，真的,546,2019-10-03 19:30,1
@夏之天诚,,机长太牛了，电影也拍的不错，完全和机长讲述的相同。,372,2019-10-03 23:31,1
@Air是Wang喵喵,,我去年想去拉萨，买了这个航班，9号买的，结果临时决定了从成都走川藏线，11号就把票退了，飞机出事那天想想真的很后怕，看了这个视频，当时的情景是多么的吓人，机长承受着着巨大的身体还有心理考验。刘机长的各方面素质真的太棒了，还有伟大的几组人员们，向你们致敬。,387,2019-10-03 23:43,1
@被封无数次了艹,,三刷走起,125,2019-10-03 18:49,1
@帝都都督,,@袁泉 乘务长真冷静[加油],43,2019-10-03 18:54,4
@小小蒲公英林,,致敬每个工作人员,37,2019-10-03 18:52,9
@酥酥酥啊,,“怎么那么牛啊”,46,2019-10-03 18:55,1
@妄想症酱啊,,看完了！特别震撼！！！感动,46,2019-10-03 18:50,3
@八_度余温,,我今天哭瞎了,32,2019-10-03 18:55,1
@职场鲜妈,,#求职季# 当时看到新闻，就已经被机长顺利救回飞机的事迹给震撼到了！这是一种极强的专业素养和职业素养！机长经过专业的培训和上百次飞行，对路线、天气和地貌都已经很了解，对飞机性能也十分了解，这是他可以处理的基础。 关键时候，专业是可以救命的法宝，不要忽视专业能力！@微博职场,53,2019-10-03 19:03,1
@Dangerry-,,感觉电影没把驾驶舱当时的恶劣环境呈现出来，现实比电影还残酷。,42,2019-10-03 20:10,1
@小鲤鱼呢啊,,中国机长真棒！,25,2019-10-03 18:56,5
@三百斤的孩子猪,,我好想知道那个半个身子都伸出机舱的副机长现在怎么样了5555！！任何采访都对他只字不提 看完电影就很担心他留下什么心理阴影了。,35,2019-10-04 01:25,1
@阿中哥哥的柠檬恋恋,,致敬！！！等我三刷完《我和我的祖国》就去看《中国机长》,26,2019-10-03 18:50,14
@你家黑猫,,中国机长,23,2019-10-03 18:49,1
@I-VICKY_,,致敬8633所有机组成员！辛苦了，所有的演职人员！中国机长值得一看！,28,2019-10-03 19:27,2
@Yucciapple,,恭喜中国机长票房破十亿！,23,2019-10-03 19:27,1
@李现的心上人yoyo,,致敬中国机长和机组人员 太震撼了！,18,2019-10-03 18:53,1
@KungFu华东,,中国机长也只有美强爸爸@刘伟强 才可以拍出这么牛的片子！,17,2019-10-03 18:51,2
@纯子企鹅,,当时发生正在这件事的时候也是略有所闻，只当新闻听听了，但是今天看了电影中国机长，感觉现实时间里的这位机长太英勇了，你用你的坚持毅力救了一百多位乘客！真英雄敬佩！,24,2019-10-03 20:06,1
@GameGyu88_Jing,,“请相信我们，我们受过专业的训练，有信心有能力保障你们的安全”,27,2019-10-03 18:54,1
@RvKAWA,,我去副驾驶半个身体在外面也是真实的，当时看电影还以为加的改编，太恐怖了,19,2019-10-03 21:32,1
@小卷毛儿Y,,牛逼到我以为是导演杜撰的,19,2019-10-03 18:59,1
@正能量的李现小迷妹,,中国机长票房大卖恭喜,11,2019-10-03 18:50,3
@奶茶精本人,,请把票房分给刘机长部分，谢谢,15,2019-10-03 21:36,1
@琳达_57220,,人民军队培养的空军退役军人好厉害,16,2019-10-03 19:58,1
@小醒酱酱酱丶fz,,看电影的时候，从副机长半个身体被甩出机窗外开始，我的双手就紧紧胶着在一起，太紧张了真的！我都不敢想象机上乘客有多么绝望，机长有多么绝望，又是怎么让自己从绝望中振作起来，带着自己和127人逃出生天。电影开始观众还是小声讨论，后面真的寂静无声，情绪太感染人了。中国机长牛逼，感谢刘机长！,12,2019-10-03 23:12,1
@喜欢你萌的栀子酱她喜欢柠檬,,刚看完中国机长回来 感动 震撼 敬畏生命 敬畏职责 刘机长很牛,10,2019-10-03 19:44,1
@xrlidywer,,看完电影感觉欧豪饰演的副机长原型能活下来真的太不可思议了，牛逼,8,2019-10-03 23:41,1
@X雪夜天子笑Z,,史诗级！载入史册！,10,2019-10-03 20:06,1
@lala不是杯面是杯麵,,刚刚看完！真的很感谢在每一位在各自岗位上保障大家安全的工作人员，谢谢你们,5,2019-10-03 19:10,1
@WandaWanda,,致敬这位机长！我看到他在后面强忍着眼泪～,8,2019-10-03 19:03,1
@Y的3方,,中国机长票房大卖,7,2019-10-03 18:58,1
@陈为先Alive,,希望大家都可以记住这句话：“当你以为万无一失的时候，错误便会自己找上门来”共勉,10,2019-10-04 00:24,2
@悠米佳佳,,敬畏生命，敬畏职责，敬畏规章。致敬民航!,4,2019-10-03 20:29,4
@JA_Makeup,,機長流弊！！機組人員流弊！！！！電影流弊！！！！！！,5,2019-10-03 19:01,2
@释然丶我心依然,,又一部很期待的电影，我回头把我们老板炒了看电影去！,7,2019-10-03 18:50,5
@Ng_Chinwah,,这个视频，居然看哭我了，最后一句“我们都还活着”,6,2019-10-03 20:46,1
@安豆豆-,,向所有保驾护航的航天英雄致敬,6,2019-10-03 19:52,2
@seven我不是eleven,,生命与责任是在一起的，感动中国！感动我们！一定要去电影院看这部电影！,6,2019-10-03 19:17,2
@娜欣依旧_漪萱,,有这样的机长！！！做飞机还怕个啥！！！,6,2019-10-03 19:08,5
@Ladywen_,,看完了，我也不懂，玻璃怎么就裂了，还有电影中穿过暴风雨的片段不是真实存在？？,8,2019-10-03 19:00,1
@优悦照享,,强大的心理素质和过硬的专业技术，才能做到临危不惧，沉着冷静，坚定信念。致敬刘机长，致敬8633机组，致敬航务保障人员。,5,2019-10-03 22:52,1
@是如仔啊,,今天那起坠机事件让我对中国机长刘长健更加敬佩,9,2019-10-03 18:53,1
@栗子花晛,,看完电影，再看这个真实的记录片，心里更是敬佩机长，电影非常还原，演员也很棒,9,2019-10-03 18:53,1
@我的名字中有L呀,,高速上120码你把头伸出来都感觉很难呼吸，想象下800码是什么感觉，真的很厉害了这位机长,6,2019-10-04 00:55,3
@都叫不醒十点半,,等等没人关心下副机长吗？？他出去的那一下差点没把我给吓死! 副机长现在怎么样了啊？！还有我想知道为什么那个玻璃会裂啊？？！,6,2019-10-03 23:46,2
@水月镜花ing,,看了电影，真是惊心动魄，生死存亡，机长机组人员太厉害了！只能为他们点赞,3,2019-10-03 22:59,2
@十点半溜出来,,原型了不起，电影加太多人了，没能突出机长的能力，过于分散当时到底是怎么操作的，塞人过多了，不够聚焦跟集中,8,2019-10-03 21:27,1
@KWSZHT,,看完电影也不能完全体会当时有多可怕，只要一想到这是事实，就很心痛，真的看不得四川人民再受灾难,5,2019-10-03 20:01,1
@胡蕊蕊hr,,明天一定要去看！！,5,2019-10-03 18:51,1
@段路高上,,中国机长NB 评论配图,2,2019-10-04 00:06,1
@都叫不醒十点半,,已经无法用语言来形容我对机长的敬佩了真的不知道说什么了虽然有千言万语但是却表达不出来,4,2019-10-03 22:38,2
@Perfect_焱,,那事故的原因是啥,4,2019-10-03 18:58,1
@Silverrrrrrrrr,,今天去看了电影 很感人,4,2019-10-03 18:57,2
@ourscq,,当初看纪录片已经觉得惊心动魄，九死一生,3,2019-10-03 21:24,6
@傻熊家的丸子,,致敬机组工作人员，也祝中国机长票房大卖,3,2019-10-03 21:20,1
@素沫沫沫沫沫沫,,怎么这么牛啊,3,2019-10-03 19:11,1
@铅笔画不出的界限M,,1号就看了电影，真的很不错,3,2019-10-03 19:11,1
@Yuzuru-湫,,明天去看！,2,2019-10-03 18:49,2
@超级萌的怪兽史瑞克呢,,说实话 不仅没多安全感，还不太敢做了（没有不信任机长的意思）,3,2019-10-03 23:14,12
@晴空远目万里,,当你还有一丝希望时绝对不要放弃！坚持！坚持！,5,2019-10-03 19:09,1
@易烊千玺全球唯一指定女友,,记得当时上课放感动中国十大人物 这个把我感动坏了[淚][淚],2,2019-10-03 23:02,1
@搜biu特否,,敬畏生命，敬畏职责，敬畏规章。中国机长牛！感谢现实中每一位机组人员和地面工作人员，也感谢电影团队。,3,2019-10-03 22:55,1
@jsntongtong,,看完电影中国机长感动震撼，看完纪录片更多的是感恩，感谢有这样的中国机长和机组人员，因为他们敬畏生命 敬畏职责 敬畏规章，才使飞机上的乘客安全降落，致敬机长，致敬英雄机组！,2,2019-10-03 21:11,1
@现霍_神姐姐,,太牛了。,3,2019-10-03 19:24,1
@FSC__,,真的太牛了！！！太骄傲了！,2,2019-10-03 19:59,1
@一襟月两袖风,,请问事故原因是什么？玻璃为什么会裂？,2,2019-10-03 18:58,1
@林婷婷范,,中国机长太棒了 人民英雄,2,2019-10-04 07:39,1
@L一只小鹿,,#看完中国机长再坐飞机# 本来就怕坐飞机 怕到什么程度呢 一夜不睡觉 第二天上飞机也不睡 全程睁眼每次都手心出汗  现在看完更不敢坐,2,2019-10-04 04:09,1
@聆魂者,,今天刚去看完，真的很震撼很好看，看完之后我的第一感想就是，当危难来临时，我要做到就是不要造就他人恐慌，听从工作人员的安排，要相信国家与工作人员，因为除此之外你别无选择,4,2019-10-03 23:42,2
@小太阳叻_清婷,,我是真的怕飞机，虽然被身边的人告知飞机是最安全的交通工具,4,2019-10-03 22:08,1
@宸肆岁-,,今天刚看完这部电影，太震撼了,2,2019-10-03 18:55,1
@生活不易哦Z,,我准备四刷了,4,2019-10-03 18:50,2
@不知自美的sarawen,,必须要去看中国机长！,1,2019-10-10 21:25,1
@脸妹儿儿儿,,@网友小Song,1,2019-10-04 22:43,1
@我家小孩最棒,,时代楷模，当代英雄，平凡岗位成就不平凡的事迹，只有认真踏实，你我都能成就辉煌，二刷中国机长，向全世界安利刘传健机长。,1,2019-10-04 17:12,1
@秋秋的小棉袄,,,1,2019-10-04 17:11,2
@暖暖哒喵酱_,,看了《中国机长》，太震撼，太感动，沉着冷静不放弃，咬紧牙关冲破重重障碍，带着119名乘客和9名机组人员成功返回地面，我们的中国机长太棒了！！！,1,2019-10-04 13:58,1
@-刘小逗-,,真的太牛了,1,2019-10-04 12:07,1
@LeeNowFynotebook,,,1,2019-10-04 10:44,1
@冷凌儿123,,今年国庆节中国机长电影已经二刷了,1,2019-10-04 10:17,1
@斑比小lu,,这种电影 哪怕是看上个五遍十遍二十遍都不会觉得腻！！！真的很震撼人心！！！,1,2019-10-04 02:42,1
@机智的小阔爱请答到,,了不起，敬佩！,1,2019-10-04 01:04,1
@微微的天空之城,,我晚上刚刚看完的中国机长 很震撼 在播之前知道这是真实的就更佩服8633的全体机组人员 致敬人民英雄,2,2019-10-04 00:57,4
@AlwaysLovejoy,,@2020-hero,1,2019-10-03 23:56,1
@凉城听暖如墨染,,机长真的牛,1,2019-10-03 21:43,1
@萌雅-Alice,,中国机长,2,2019-10-03 20:51,1
@向YUTING,,刚刚看完，电影很棒，致敬每一位航空工作人员,2,2019-10-03 20:45,1
@藤蓏花落,,敬畏生命，敬畏职责，敬畏规章,1,2019-10-03 20:34,4
