User,Reter,Comment,Votes,Time,Count
@有桃花yo,,傻孩子 谁把你放孤岛,240,2019-10-12 14:19,1
@夜猫不熬夜,,嵩哥很少说自己的歌有多好（反正会做到最好）但这首真的很特别了，嵩哥连发两篇夸它，超级期待了！,179,2019-10-12 14:18,1
@Crush0407,,就直接说 你听不懂别说难听,122,2019-10-12 14:16,1
@我是一个可爱的闷墩儿,,他把他的宝藏分享于我们，像一个小孩向大人炫耀他的秘密花园，他担心大人不懂，但是又觉得大人能懂。如此纠结复杂兴奋，只是因为我们彼此密不可分。你不会被流放鼓捣，我们会爱上这雨幕。,66,2019-10-12 14:27,1
@VaeCN许嵩官网,,前排,44,2019-10-12 14:16,2
@圆丢丢_Vae,,我会听个1986遍的,44,2019-10-12 14:18,1
@九零年代出土的梦,,既好听又难听。这个好听应该是单纯从听觉上来说，只听字面意思。这个难听应该就是说隐藏在其中的深意难以被听众听懂,56,2019-10-12 14:54,1
@Taurus_Vae晴HarukoYagami,,#许嵩[超话]# 这老男人真的是[允悲]就剩这么几个小时还吊胃口 那我只好认真听了,24,2019-10-12 14:21,1
@VaeCN许嵩官网,,#许嵩[超话]# [微风]嵩哥Vae+又更新啦，他说：“我很喜欢这首作品，如果我被人流放到一个孤岛，只允许随身带一张包含十首歌的CD，这首会在其中。”#许嵩雨幕#,14,2019-10-12 14:19,2
@白天翻越了夜的银河,,嵩哥上次这么喜欢一首歌还是发《江湖》的时候，一定是一首很特别很有意思的作品,16,2019-10-12 14:34,1
@花嫁Katou_Megumi,,大千世界真的是惊艳,13,2019-10-12 14:16,1
@人生如戏MYS,,对待每个作品的专注与认真，这就是许嵩！期待《雨幕》,12,2019-10-12 14:38,1
@VaeCN许嵩辽宁歌迷会,,#许嵩雨幕# ,1,2019-10-12 14:18,1
@许咿唔,,啊啊啊啊啊啊啊啊啊啊啊，好期待,7,2019-10-12 14:21,1
@不保护好晴晴没脸爱nee,,听个500遍安排,8,2019-10-12 14:20,1
@Vae是夕斯更的许甜甜呀,,有一天我带着你和你最爱的CD去流浪,7,2019-10-12 14:53,1
@海上三日无言i,,大千世界何尝不是虚虚实实，隐隐约约。所以老许，剩下九首歌是啥啊？,8,2019-10-12 14:24,3
@想和七岁谈恋爱-,,傻子光带CD有啥用 害,8,2019-10-12 14:26,1
@Loooiiiu,,天啊这首能排上他心里top10的歌,7,2019-10-12 14:49,1
@许嵩的油面筋,,就觉得脖子那儿也很奇怪，原来这里也翻转了,4,2019-10-12 14:22,1
@Vae许嵩网投组,,#许嵩[超话]#许嵩vae+最新更新。请查收[心],0,2019-10-12 14:28,1
@子小木木夕tri-earth,,这首歌一定是你非常满意的作品，所以你才亲自做了这么多宣发,7,2019-10-12 16:28,1
