User,Reter,Comment,Votes,Time,Count
@文天祥mark,,攀登者其实是不错的！强烈建议大家去感受一下！,3659,2019-10-05 20:28,2
@流放爱意,,我真的吹爆《中国机长》我三刷啦！！！,2840,2019-10-05 20:20,3
@热短句bot,,我和我的祖国！！！打卡！！！,2534,2019-10-05 20:19,8
@Mature淋,,个人觉得攀登者是今年国庆档最好的，国庆档三部都看了！,2828,2019-10-05 21:18,1
@慕小澜是狼,,攀登者挺好看的啊！！为什么这么多人吐槽,2682,2019-10-05 20:36,1
@是坏掉的路灯,,我和我的祖国是最好看的，最喜欢前夜。,1438,2019-10-05 20:20,1
@卷卷毛麻麻,,我都看了，中国机长也很不错啊,1377,2019-10-05 20:21,1
@保暖带毛拖孩找李赤赤宀辛,,中国机长已经二刷了 开学回学校要三刷,825,2019-10-05 20:20,1
@紫木青禾祝朱一龙0416生日快乐,,我和我的祖国,602,2019-10-05 20:20,1
@一句话入你心,,攀登者@胡歌,1124,2019-10-05 20:26,1
@海椒不就是辣椒嘛,,三部都看了，但是攀登者是真的很震撼,1055,2019-10-05 22:03,1
@把我逗笑惹0128,,三部都看了 但是最喜欢攀登者！！,1020,2019-10-05 23:35,1
@纯净清新的风,,中国机长,567,2019-10-05 20:23,2
@现宝的猫小喵,,中国机长和祖国,344,2019-10-05 20:21,6
@copudding,,中国机长,378,2019-10-05 20:20,1
@粉笔擦,,攀登者加油,127,2019-10-05 21:04,1
@Y的3方,,中国机长!,147,2019-10-05 20:20,1
@调皮彩虹糖,,中国机长特别好看,77,2019-10-05 21:04,1
@·养成指南·,,超级喜欢 我和我的祖国 啊！,80,2019-10-05 20:20,1
@爱现哥的静静ing,,中国机长,75,2019-10-05 21:02,1
@裘马轻狂-,,都看了，中国机长二刷！,61,2019-10-05 20:30,1
@李现的口罩,,中国机长 真的好看！,51,2019-10-05 20:37,1
@夏文龙小盆友,,我和我的祖国,45,2019-10-05 20:20,1
@今天还是小透明啊,,中国机长啊！,41,2019-10-05 20:30,1
@半透明_天空20,,我参与了@央视新闻 发起的投票【三部国庆档主旋律电影票房破40亿 你看哪一部了？】，我投给了“《我和我的祖国》”这个选项，你也快来表态吧~,23,2019-10-05 20:38,1
@东北偏北68,,个人认为《攀登者》比《中国机长》好看。后者在后半段飞机降落后情节太拖沓，直接影响观感，对比之下，《攀登者》一气呵成，全程无尿点～电影看过才有发言权，不要人云亦云,47,2019-10-05 22:01,1
@除了李现谁都不爱的阿美,,中国机长是真的棒,36,2019-10-05 20:42,1
@釉桅,,中国机长。我和我的祖国。超级棒！！,35,2019-10-05 20:20,1
@小久--,,攀登者凉在了恶评上，不知道惹到了谁,30,2019-10-05 22:51,1
@小懂事儿de红薯,,三部都看了 最喜欢中国机长 然后是攀登者 我和我的祖国 喜欢女排 你好北京 张译演的 不记得叫什么了,21,2019-10-05 20:26,1
@SuSIE利利,,攀登者！！！,25,2019-10-05 21:46,1
@一只猪蹄丶,,我和我的祖国啊,18,2019-10-05 20:19,15
@沁小妞的YJQ,,中国机长太牛了,22,2019-10-05 20:25,4
@思邈的小徒儿,,都看了，让我最震撼的是攀登者！,22,2019-10-06 09:14,1
@jjjooooo666,,中国机长，我和我的祖国，攀登者三部看了。,15,2019-10-05 21:02,1
@董董不知所措,,中国机长和我和我的祖国真的吹爆，好看,21,2019-10-05 20:42,1
@冯啵啵在自话自说,,都看！！！！！,9,2019-10-05 20:20,2
@全体小笼包祝朱一龙0416生日快乐,,我和我的祖国,8,2019-10-05 20:27,1
@剪刀手比个赞,,我和我的祖国，二刷了！,9,2019-10-05 20:26,1
@一马平川,,我和我的祖国，太好哭了,10,2019-10-05 20:23,3
@香芋迪,,三部都看了，祖国二刷！！！,7,2019-10-05 20:21,2
@蓝姐姐Ada,,不好意思  三部都看了,7,2019-10-05 20:52,1
@Kun的小砂糖,,看了中国机长，我和我的祖国， 喜欢前夜，葛优，和那个小男孩， 喜欢袁泉和机长。,6,2019-10-05 20:25,2
@iwix,,都没看,5,2019-10-05 20:22,1
@蘇蘇西子D,,我和我的祖国吹爆,8,2019-10-05 20:20,1
@-HH两点论,,除了攀登者...,3,2019-10-05 21:08,2
@孟良九堂,,我和我的祖国跟中国机长都看完了！都超燃！超感动！！,2,2019-10-05 20:43,1
@那个单词,,都没看,3,2019-10-05 20:35,1
@qiongxxpe,,我和我的祖国，一刻也不能分割！ 会唱国歌的人，祖国会带他回家！,4,2019-10-05 20:34,1
@啵儿不散,,《我和我的祖国》满是浓浓的爱国情也把中国的重要的发展事件表现得特别出色;《中国机长》把机长和乘务组遇险后还能平静处理以及人民遇险后的惊慌失措到渐渐不再畏惧都演的特别好！~这俩电影都很不错！推荐大家看！,5,2019-10-05 20:35,1
@好好吃饭天天过秤,,很多企事业单位机关学校早就预定好了国庆之后的包场。#电影我和我的祖国# 的票房曲线跟普通商业片是不同的。最终能达到多少真很难说。,3,2019-10-05 20:24,1
@此用户可能不存在了,,没看,3,2019-10-05 20:24,1
@牵旧时光,,就没有三部都看了的选项吗？？？,3,2019-10-05 20:21,1
@虎皮尖椒加点糖,,我和我的祖国！超级好看！一包纸够！,2,2019-10-05 20:21,3
@Salayray,,都看了,2,2019-10-06 08:34,1
@疲惫生活中的小蚂蚁,,我参与了@央视新闻 发起的投票【三部国庆档主旋律电影票房破40亿 你看哪一部了？】，我投给了“《攀登者》”这个选项，你也快来表态吧~,2,2019-10-05 22:42,1
@酱大姐微博在线,,全都看了！！！,2,2019-10-05 21:31,1
@温柔的晨妈,,都看了,2,2019-10-05 21:08,1
@PurenessW,,全看了,2,2019-10-05 21:04,1
@陈粞思,,全看啦,2,2019-10-05 20:45,1
@快乐圆圈k,,我和我的祖国,3,2019-10-05 20:26,1
@漆培鑫的高仿号,,我和我的祖国，看完感触很深,3,2019-10-05 20:23,2
@兰卡LANOC,,攀登者真的好看！,5,2019-10-06 12:33,1
@懵圈的MissHe,,我都看了！还把《中国机长》《我和我的祖国》二刷了,4,2019-10-06 08:47,4
@Nosilence-Rd,,中国机长！我支持！,3,2019-10-05 23:48,1
@犹你13,,我和我的祖国 中国机长 中国机长真的太棒了，强烈安利！,4,2019-10-05 23:43,1
@真實不虛雲遊身-柏逸,,我是台灣同胞，前天去看了【我和我的祖國】真的感動好看，特別是97回歸，期待未來能親眼見證-台灣的回歸，我愛您中國,2,2019-10-07 22:17,2
@奶味椰子糖0,,攀登者！,5,2019-10-06 16:30,1
@神一样额男人,,国庆红色电影不该收费，应该加强爱国主义教育，不是任何事情都要走市场化的。,1,2019-10-06 09:35,1
@一秋枯骨化为春雪F,,看了《我和我的祖国》和《中国机长》  真的都很好看   想二刷《我和我的祖国》,2,2019-10-06 08:48,2
@绍兴大阿淼V,,国庆三部电影都打卡了,1,2019-10-06 08:34,1
@TING_724,,都看了呢,2,2019-10-06 01:16,2
@ESTHER-2010,,中国机长,2,2019-10-05 23:10,2
@李最甜ing,,强推中国机长！！！,2,2019-10-05 22:22,3
@Chunling玲1994,,三部都支持啦！一个人看了三部电影，国庆假期比我想象中的要长,2,2019-10-05 20:55,1
@王安子娜,,我和我的祖国，回归真的很感动,2,2019-10-05 20:42,1
@酸奶疙瘩味的小龙包,,我和我的祖国 回归篇,2,2019-10-05 20:41,1
@-Carpo-,,当然是选我和我的祖国啦  一起为阿中哥哥打call！,2,2019-10-05 20:25,1
@A陈宏祥,,我都看了，都很好看，超级好看，爱国气息很浓,3,2019-10-05 20:25,1
@芒果冰麦不加燕麦,,我和我的祖国还有中国机长都看啦～,3,2019-10-05 20:20,1
@话痨小潘,,为什么不能多选,1,2019-10-06 09:45,2
@爱吃手的小胖子,,我和我的祖国看了一遍，中国机长看了两遍，都很好,1,2019-10-06 09:40,1
@荻叶千寻,,攀登者演技和场面比机长强太多，机长我不喜欢前后强行加戏，严重拉低好感,3,2019-10-06 09:32,1
@齐神仼之,,三部都看了,1,2019-10-06 09:26,6
@九个小宝贝,,三部都看啦，都好看，我喜欢机长,2,2019-10-06 09:25,1
@仙女风格,,我真的吹爆《中国机长》我三刷啦！！！,2,2019-10-06 09:06,4
@达摩妙蛙种子,,全都看了,1,2019-10-06 09:04,1
@特别识趣,,打卡祖国和机长，超赞[加油],2,2019-10-06 08:50,1
@李现的二头肌,,中国机长,1,2019-10-06 00:26,1
@霖妈洋葱香粉,,我都看了,1,2019-10-05 22:10,1
@CreoEn-Mi,,我和我的祖国超好看，哭了,2,2019-10-05 21:49,1
@浅笑而心安,,我都看了，都很不错,1,2019-10-05 21:25,1
@梦想是拯救世界的陌心,,都没看,2,2019-10-05 20:21,1
@火星村常住人口yu,,你刚刚为啥秒删,1,2019-10-05 20:21,1
@-工长张-,,都看了,1,2019-10-05 20:20,1
@李那个阿珑呀,,都看了,2,2019-10-05 20:20,1
@锦鲤仙子本仙,,我和我的祖国和中国机长真的超级好看！已经3刷了！,3,2019-10-05 20:20,3
@Seven七七呐,,我和我的祖国,2,2019-10-05 20:20,1
@Ying知予半夏,,攀登者真的还是不错的,2,2019-10-06 16:13,1
@你的姑娘_521,,我觉得《攀登者》很好看,2,2019-10-06 14:37,3
@张译女儿,,致敬攀登英雄,2,2019-10-06 10:39,2
@张译女儿,,看了《我和我的祖国》和《攀登者》大家不要受一些评论的影响，《攀登者》还是非常值得看的,2,2019-10-06 10:38,2
@不许和我抢Wi-Fi,,攀登者其实很好看啊！！！,2,2019-10-06 10:38,1
@李登杰0125,,三部都去看了 感觉攀登者比中国机长还刺激,3,2019-10-06 10:31,1
@黎黎喵666,,今晚攀登者走起，就齐活了,3,2019-10-06 08:42,1
@Seanrabbit,,中国机长真的有种目睹了现场盼望飞机回归的感觉,1,2019-10-06 10:59,1
@冻糖糖,,看了 我和我的祖国 和 中国机长，实话说前者比后者强很多,1,2019-10-06 09:51,1
@韶华谁与共流年,,打卡了我的机长和我的祖国,1,2019-10-06 09:41,1
@鹭鹭展翅猛遨遨遨遨不成成烤翅,,我都看了，三部都不错呀～最喜欢我和我的祖国～,1,2019-10-06 09:25,1
@云片糕生煎包,,强推我和我的祖国和中国机长，影院里超级多人，还有好几个小孩子，整场下来，孩子都是安静的。,1,2019-10-06 09:25,1
@雍正主义至上者,,都看了！我超爱我和我的祖国。超级喜欢前夜夺冠回归北京你好！,1,2019-10-06 09:16,1
@玲丽ing,,我参与了@央视新闻 发起的投票【三部国庆档主旋律电影票房破40亿 你看哪一部了？】，我投给了“《中国机长》”这个选项，你也快来表态吧~,1,2019-10-06 09:11,1
@一秋枯骨化为春雪F,,我和我的祖国,1,2019-10-06 08:38,2
@怀仁头条,,#早安 怀仁# 国庆假期倒计时，没有看电影的同学抓紧了,1,2019-10-06 08:33,1
@况宝鑫,,都看了，希望排片多一点吧，挺不容易的。无脑黑真的是无脑。,1,2019-10-05 23:25,1
@叶明夕,,别不信，最近真的在加班没时间，再不信你看现在凌晨快四点,2,2019-10-06 03:44,1
@Echo-Mocuishle,,看完了,1,2019-10-07 15:25,1
@荷兰弟的正房夫人哈,,都看了都看了,1,2019-10-07 13:07,1
@时光邮寄给你的北极,,看了两部，我和我的祖国，还有攀登者,0,2019-10-07 01:06,1
@吾皇爱谁谁,,三部都看了！都很不错！,1,2019-10-06 17:50,2
@安闯闯的世界,,亲密旅行不错，可以去看看,1,2019-10-06 12:53,1
@IvAn_JiN7,,我寻思着都是献礼片 那么多人老在乎票房干嘛？,1,2019-10-06 11:55,1
@是小橘呐_,,看了中国机长，也想看我和我的祖国，但是怕在影院哭死，丢人,1,2019-10-06 11:19,1
@摸摸头小朋友en,,前面两部都看了,1,2019-10-06 09:07,1
@Painless-Harmony,,中国机长和攀登者都看了！还差我和我的祖国，可能明天会去看！,2,2019-10-06 08:56,1
@换个小马甲继续潜个水,,天天上班 一部还没有看。。。。。。。。。打卡。。。。。。。。。,1,2019-10-05 22:46,1
@Sky殇妍熙,,只看了机长，剧情挺紧凑，全程无尿点，事件还原度蛮高的，关晓彤和baby的演技没有拖后腿，李现很出彩。,1,2019-10-05 22:37,1
