User,Reter,Comment,Votes,Time,Count
@胖胖loveW,,图⑤是杀完公司代表 坐在尹钟宇的座位上 你是不是又要说kswl,201,2019-10-12 10:57,1
@苔妹爱追剧,,改了一下图，发的着急拼的有点乱了,14,2019-10-12 11:21,1
@很萌很萌的萌小丹,,刚调了一张，太好看了,40,2019-10-12 11:15,1
@东京小玫瑰,,我真的好喜欢腹黑攻啊,36,2019-10-13 12:57,1
@霍格沃茨年级第一,,谢谢谢谢谢谢每一张我火速保存 查看图片,17,2019-10-12 11:14,1
@软糖甜度满分,,李栋旭太绝了,8,2019-10-12 15:40,1
@干你笑个毛哇,,要我命的男人！！！！！,6,2019-10-12 15:17,1
@西瓜芒果车厘子r,,啊啊啊啊啊啊啊啊啊啊啊啊啊哎一古！！我栋旭叔叔好帅！！谁能不看他人即地狱！！,6,2019-10-12 18:57,1
@弗贝余生,,好帅一男的,2,2019-10-13 07:03,1
@遗漏了的句号,,看叭，老李可是行走的画报，不是吹的，每张都像杂志封面一样,3,2019-10-12 16:18,1
@白清曜,,#李栋旭#  这是什么神仙颜值啊,2,2019-10-12 16:05,1
@NewWorld明年见,,@蒲廿四,0,2019-10-12 17:58,1
@米拉是良人,,突然觉得，他来演死亡笔记得有多真实,2,2019-10-12 22:45,1
@xxhxxhxx,,我也死去活来,1,2019-10-12 19:46,1
@浮生不过是黄粱梦一场,,@jinxxovo,0,2019-10-12 17:22,1
@幸运·小福手,,,0,2019-10-12 15:50,1
@Se7en柒七7,,@黎藜Espoir,0,2019-10-22 21:21,1
@暴躁老嗲嗲,,姐妹原图发给我,0,2019-10-19 14:41,1
@双云奶茶不加糖,,@Alvette_Fung,0,2019-10-14 08:53,1
@我叫张得美美美,,@西西西西柚_ 这是什么绝世大帅比！,0,2019-10-13 21:18,1
@就是这只小肥啾,,@你算哪只小肥啾,0,2019-10-13 20:53,1
@多喝白葡萄酒煮蜜桃,,啊啊啊啊啊好帅,0,2019-10-13 20:50,1
@Yee喝酸奶不舔酸奶盖,,@开水电,0,2019-10-13 09:37,1
@给我炀神扎小啾啾,,靠真的好绝一男的,1,2019-10-13 00:26,1
@9M9M9M9M,,@灰姑娘的2姐,0,2019-10-12 21:09,1
@erecniS,,雨夜天台的徐医生，我太喜欢了,2,2019-10-12 19:17,1
@隐约有雲,,o 好棒,1,2019-10-12 16:44,1
@居于北地,,他太好看了！！,1,2019-10-12 16:08,1
@AROHA程迦,,好绝,1,2019-10-12 15:02,1
@法桐疏影,,每天都是被栋旭欧巴迷的死去活来的一天,0,2019-10-12 11:06,1
@白桃酸奶_,,不是大魔头是小可爱,0,2019-10-14 11:56,1
@玉令公子,,啊啊啊啊啊啊啊好帅一男的,0,2019-10-14 10:05,1
@东方家_向在中花,,简直。。。。。,0,2019-10-14 08:53,1
@_Devil丿,,啊啊啊啊啊啊啊wsl我的天哥哥太帅了,0,2019-10-14 08:26,1
@元元元元A,,我太喜欢这个造型的李栋旭了,0,2019-10-14 01:18,1
@10漪翎,,我第一个如此被颜迷住的韩国艺人,0,2019-10-14 00:47,1
@喵喵桑w-,,呜呜呜呜老公太好看了,0,2019-10-13 23:58,1
@在琑不辞,,我哥真是行走的画报,0,2019-10-13 22:49,1
@李壮实的大盒子,,求问原图出处,0,2019-10-13 22:32,1
@我真的会尽力,,太好看了哥,0,2019-10-13 22:06,1
@阿木想去非洲,,正在看～,0,2019-10-13 20:58,1
@居居_Boom,,这哥太优越了,0,2019-10-13 20:53,1
@-四年四月四天,,@iiii生命万岁,0,2019-10-13 20:49,1
@活捉一个小奶书,,磕魔怔了，今天去三刷了,0,2019-10-13 17:06,1
@不喝奶茶不喝可乐,,我可以.....,0,2019-10-12 19:46,1
@还是叫鹿制烯吧,,get到李栋旭得颜后我变得……,0,2019-10-12 19:39,1
@JoyElop,,我可以这三个字我真的说腻了！,0,2019-10-12 18:02,1
@秣马人的歌,,帅哥都给我去演变态！,1,2019-10-12 17:30,1
@没钱勿扰,,存存存,0,2019-10-12 14:45,1
@昏鹿公子x,,美颜盛世,1,2019-10-15 21:35,1
@花山夜未眠,,痴汉般吞咽了口口水 这男人该死的绝美,0,2019-11-12 23:46,3
@与万势力狼狈为奸,,图3是哪集啊,0,2019-10-30 12:57,2
@白鲸之落,,帅的嘞,0,2019-10-30 11:11,2
@阿晴正努力呢,,多年前就感叹这侧脸的线条是艺术品呀,0,2019-10-26 20:12,2
@水一家阿灯,,求原图,0,2019-10-24 20:38,1
@嘻嘻嘻这个昵称不能用,,太好看了,0,2019-10-23 20:44,1
@DeadintheWater,,我干,0,2019-10-21 17:22,1
@眼神不好的猫,,坏的流口水,0,2019-10-18 10:41,1
@So_da黑红,,@Phantom小鱼,0,2019-10-17 12:03,1
@Pleasetrustme-,,太绝了,0,2019-10-16 20:04,1
@_YAOAYAO,,[贊],0,2019-10-16 19:35,1
@艾米莉的粥啊,,妈妈呀,0,2019-10-16 16:53,1
@歡喜二黄,,他太让人上头了,0,2019-10-15 13:38,1
@不清醒哦,,绝,0,2019-10-14 19:08,1
@基地的小公举,,可可爱爱徐文祖，讨厌不起来的变态,0,2019-10-14 15:33,1
@看不见的水蒸气真的很烫,,图8要吓死我了,0,2019-10-14 12:39,1
@沉迷于睫毛精的陌陌,,穿白衬衫带眼镜中分的小牙医好变态好好看啊啊啊啊啊啊啊，祖宗CPSZD,0,2019-10-14 10:42,1
@一只迷hotel,,帅哥头发好多（不是）,0,2019-10-14 09:22,1
@沁漫熙,,,0,2019-10-14 09:13,1
@一只高冷的花生,,呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜,0,2019-10-14 09:01,1
@我讨厌那只天使,,老公,0,2019-10-14 08:51,1
@_许哆善良快乐,,绝,0,2019-10-14 08:02,1
@浥轻尘澜,,老公好帅啊！！！！,0,2019-10-14 07:58,1
@凉雨54,,求原图可以吗？,0,2019-10-14 01:11,1
@可爱又迷人的反派许十五,,神仙啊,0,2019-10-13 23:53,1
@桃之夭夭儿儿,,李栋旭我爱了,0,2019-10-13 23:49,1
@是豆子鹤呀,,啊啊啊啊今天刚看完，要我命啊,0,2019-10-13 23:46,1
@可乐好咸,,哥哥！来拔我的牙！,0,2019-10-13 21:59,1
@非正式阿宣日常博,,东旭哥哥我爱你啊啊啊啊啊啊啊啊啊啊啊谁能想到你已经四十几岁了呢,0,2019-10-13 21:42,1
@零三年的雨,,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊我靠,0,2019-10-13 21:35,1
@夜色头牌汉服女郎5万起,,我正在看，看得我快抑郁了,0,2019-10-13 21:24,1
@椰汁芒果冻不加冰,,他为什么不老啊。。我上次看他演的韩剧还是那个和李准基大帅哥演的什么“表妹爱上我”？真的没啥变化,0,2019-10-13 21:21,1
@芋丸小圓子_,,呜呜呜呜呜呜呜想马上看剧,0,2019-10-13 21:08,2
@芋丸小圓子_,,呜呜呜呜呜我真的太想看他人即地狱了,0,2019-10-13 21:07,2
