User,Reter,Comment,Votes,Time,Count
@微博牛人,,穿着背心吹着空调看着雪,57,2019-10-07 16:27,2
@性科普bot,,交警也要注意安全呀,41,2019-10-07 16:26,6
@王子异0713,,注意安全！辛苦啦,14,2019-10-07 16:26,2
@7212231597_707,,给青海交警点赞,14,2019-10-07 16:27,10
@让我康康康康,,注意安全！辛苦了！！,9,2019-10-07 16:33,1
@R1SE-任豪的女朋友,,哪有什么岁月静好，只是因为有人在负重前行,10,2019-10-07 16:38,9
@现现不得了_,,为交警点赞,1,2019-10-07 16:37,5
@LYS冷夜色,,致敬,1,2019-10-07 16:35,1
@安静的xback很安静,,都要注意安全啊！,1,2019-10-07 16:28,3
@樱花颂颖曲,,为交警点赞,1,2019-10-07 16:27,4
@啵崽_王甜甜,,给交警点赞,1,2019-10-07 16:27,1
@我是小女人-,,广东的人民还在吹空调,1,2019-10-07 17:19,1
@祁天道与真真姐的性福生活,,真好我们云南几年不见下雪了,1,2019-10-07 17:03,1
@乔木依稀y,,给交警点赞,1,2019-10-07 16:58,6
@ACCA不过完不改名,,真辛苦！！！顺便问一下苹果app没人关注了吗？,1,2019-10-07 16:53,1
@八点五斤半,,还好回来的早,1,2019-10-07 16:36,1
@曾木木君,,,1,2019-10-07 16:26,1
@Feb的血液里风和阳光种着青苔,,@小白啃苹果 去了就是难忘的回忆了,0,2019-10-08 19:17,3
@熊猫神经经,,點贊青海交警[贊][贊][贊]你們辛苦了,0,2019-10-07 21:59,2
@Yunnmo,,广东人开着空调穿着短袖＋一脸黑人问号,0,2019-10-07 21:26,1
@六11,,致敬！,0,2019-10-07 21:17,3
@霍芋芋,,哪哪都是游客。。。,0,2019-10-07 20:38,1
@给你微笑搬开心,,给青海交警点赞,0,2019-10-07 20:00,1
@慕之依然,,致敬最可爱的人,0,2019-10-07 18:54,1
@北野苍介,,愿平安,0,2019-10-07 18:14,1
@魏渭先森工作室,,致敬。,0,2019-10-07 17:53,2
