User,Reter,Comment,Votes,Time,Count
@拾壹年有多少天,,模拟经营的话开罗系列炒鸡好玩，steam上无人深空也很不错，不过大概算是生存类游戏？,171,2019-10-07 09:46,1
@你要一颗甜地瓜吗,,farm together也要拥有姓名！！！！！,114,2019-10-07 09:34,1
@美好好的,,卡通农场！！！都给老子去玩！！！,37,2019-10-06 19:08,1
@吕冠澎Stabili,,为什么farm together不配拥有姓名？ 评论配图,32,2019-10-07 11:02,1
@绝地求生咨询,,steam上热搜了。加油。,27,2019-10-07 10:05,1
@白桃牛奶冰,,planet zoo11月6号就出啦！也很好玩的亚子！,16,2019-10-07 09:38,1
@Oahmfinx,,星露谷物语太肝了，双点医院逼死强迫症，冰汽时代的难民太难伺候了,15,2019-10-07 11:04,1
@是魔镜吗,,除了5和7以外都玩过了！都特别棒！可玩性非常高,13,2019-10-07 10:11,1
@柒分甜不加冰,,,23,2019-10-07 11:21,2
@桔汁儿_,,第二个游戏……不是奶牛镇的小时光吗？,9,2019-10-06 19:39,1
@宇宙第一萌少女,,波西亚时光啊各位！！,6,2019-10-07 12:23,1
@77z__,,farm together,9,2019-10-07 09:25,1
@阳明子-,,大爱城市天际线,12,2019-10-07 09:35,1
@爱睡觉的懒猫是我,,终于等到种草了,6,2019-10-06 20:00,1
@纠结的小子朗,,,3,2019-10-07 10:14,1
@嗯是個殺手,,所以有没有一起玩的,4,2019-10-07 09:34,1
@腿很长的臭弟弟,,过山车之星的自由度真的绝了，玩的我一脸懵逼，侏罗纪世界的恐龙做的也很逼真，可以近距离观察恐龙，还有wegame上的波西亚时光也非常好玩，建议大家试一下，波西亚时光是国产游戏里的佳作,3,2019-10-07 11:17,1
@小小豆娘,,@峰儿动 我看到第一个就想到你了,0,2019-10-06 18:45,1
@我说今晚的月色那么美你说是的,,ios搜不到4,1,2019-10-06 19:03,1
@浅海深島,,波西亚时光啊！！！,3,2019-10-07 10:20,2
@对你只有想要70563,,星露谷物语很好玩，游戏元素很多，最棒的是有结婚系统,4,2019-10-07 09:56,1
@zZzvk,,@我的奶茶不加真珠 想玩！,2,2019-10-06 19:47,1
@一脑子内涵,,没有我fm2019？有没有喜欢足球的小伙伴，这个玩的我上头一天睡四个小时。,2,2019-10-07 18:19,1
@顾清辞七岁,,卡,0,2019-10-07 14:51,1
@疗心人,,planet coaster中文名叫过山车之星啦 是过山车大亨的续作,1,2019-10-07 11:52,1
@最爱秋天的fruit白羊,,@魏大喷,2,2019-10-07 11:51,1
@改名后希望有点欧皇的小花,,爱了爱了！,1,2019-10-07 11:26,1
@没有炸鸡和牛奶,,必须星路谷，谁也不能阻止我撩小姐姐,2,2019-10-07 09:53,1
@-玦翊,,@开完金矿回来的非蝶,1,2019-10-06 18:23,1
@0猴式智减法0,,买了126，都挺杀时间的，种草358，准备剁手买,0,2019-10-07 11:33,1
@与猫的美好时光,,冰汽时代,2,2019-10-07 10:33,1
@安仔命中缺猫,,吹爆冰气朋克,1,2019-10-07 09:57,1
@江郎雅致高量,,第一个大爱，因为太好,0,2019-10-07 09:24,1
@剁不了手的jiji,,星露谷物语对电脑有要求吗？电脑是商务本,0,2019-10-09 09:44,1
@备注记得多放辣,,这是让我把steam又下回来啊,0,2019-10-07 17:35,1
@陈杨帆,,工人物语7  强推！,0,2019-10-07 16:27,2
@_Imango,,@z_qqqqqqqqqq,0,2019-10-07 16:23,1
@西瓜太郎大战樱桃小丸子,,我问一下啊这个库里怎么下载游戏啊根本找不到啊 评论配图,0,2019-10-07 16:13,1
@monsterrosy,,hh上热搜了 感觉最难玩的是建造游戏 可能学设计基建之类比较会 经营游戏肝到,0,2019-10-07 12:05,1
@M萌萌小笃定M,,存了，我可太喜欢盖楼了,0,2019-10-07 12:00,1
@K_0130,,@圆圈不圆-,0,2019-10-07 11:30,1
@RosalieCameron,,,0,2019-10-07 11:29,1
@-宝贝歆医美护肤全系列,,steam是什么？,0,2019-10-07 11:03,1
@卅瓦迪咖,,为啥我在苹果商店搜不到,0,2019-10-07 10:37,1
@请叫我西西sir,,码住,0,2019-10-07 10:21,1
@涵比比比比比比比,,双点医院超级好玩！！！！医院广播什么的充满各种搞笑梗 ，病人得的各种超级有意思！,1,2019-10-07 10:14,1
@云杉111,,我想说饥荒，会不会有人打我?,2,2019-10-07 16:49,2
@Ryooooooi,,那个双点医院感觉像小时候玩过的主题医院,2,2019-10-07 16:30,1
@平川花江太太,,城市天际线=堵车天际线 自从玩了这游戏我每次看到游戏里哪哪堵车就十分暴躁，明明规划的很好，但是ai市民像个沙雕，哪里堵就往哪里去,2,2019-10-07 15:26,1
@就喜欢康康鸭,,推荐开罗小游戏，真的可以玩一天,2,2019-10-07 12:24,1
@常清净矣233,,#steam上好玩的经营游戏# 城市天际线我吹爆！！！,2,2019-10-07 11:37,1
@红豆派掌门樷圓子,,星露谷入手不亏,2,2019-10-07 11:24,1
@辛巴yiu,,有没有手机端可以推荐一下的,1,2019-10-07 11:15,1
@嘤嘤嘤不喜欢他喜欢谁,,,2,2019-10-07 10:55,3
@霍尊身材两面孔,,露塞提娅：道具屋经营妙方 也很好玩的！,2,2019-10-07 10:19,1
