User,Reter,Comment,Votes,Time,Count
@yookas,,太丑了,415,2019-10-07 13:40,2
@海月明子,,买个锤子,389,2019-10-07 14:28,1
@xpeim,,辣鸡新闻,271,2019-10-07 13:46,1
@NgNgNg吳澤偉,,这四款吹风机 真丑 ,108,2019-10-07 15:26,2
@Danny_Lau-,,库克：钱都准备好了吗,71,2019-10-07 13:41,1
@机智又如何,,喜不喜欢又怎样？好不好看又怎样？什么颜色又怎样？你买不买？重点是你会不会买,27,2019-10-07 13:51,1
@无语De身影,,现在买苹果手机的是真果粉啊！,18,2019-10-07 16:36,1
@LostRecollection,,App热搜杂换成耳机了？？？？,19,2019-10-07 17:25,1
@爱国的小鲸鱼,,苹果和香港的苹果还真是一家啊 ,4,2019-10-08 02:01,3
@辛谣,,喜欢港毒的骨灰色,4,2019-10-07 22:58,1
@太阳系颜值担当,,70评论11.4万赞，苹果牛逼，金钱的力量，硬扛网民的舆论压力！,2,2019-10-08 09:47,1
@小飞鱼Y,,没钱买,0,2019-10-09 07:00,1
@宜宾李知恩,,AirPods可以像手机一样以旧换新吗！,2,2019-10-07 23:58,1
@陈晗爱小鱼,,刚入手2代,1,2019-10-07 13:55,1
@清新清爽小黄瓜,,一个坏了另一个就不能用了质量太差,0,2019-10-09 12:55,3
@梦鲲素岭,,道歉,0,2019-10-09 11:29,2
@逍遥自在jkl,,不喜欢苹果产品，我参与了@新浪科技 发起的投票【你喜欢哪款颜色？】，我投给了“白”这个选项，你也快来表态吧~,0,2019-10-09 10:38,2
@半度樱花,,热搜撤了，同时还帮忙宣传，渣浪呵呵了,0,2019-10-09 10:29,2
@静姝她爹,,考虑一代，关注点不应该是外形的设计吗？果然不负备注。,0,2019-10-07 19:27,1
@Z先森的冒险世界,,不会就两种颜色 黑白,0,2019-10-07 15:59,1
@王小僵,,@bingcy,0,2019-10-07 14:20,1
@昊昊-暄暄,,不会买 不需要,0,2019-10-09 18:34,3
@盛世美颜吖予二十,,@吴二狗呀complex 卧槽,0,2019-10-08 19:01,1
@肖甜甜甜甜甜甜甜,,这个不香 这个好丑,0,2019-10-08 08:50,1
@千玺家的小雪梨,,还是旧款好看,0,2019-10-08 08:28,2
@佛系小汤圆,,都不喜欢，太丑！大实话……,0,2019-10-07 23:29,2
@shanshan_72,,问题不在于颜色,0,2019-10-07 22:46,1
@郭宁宁郭,,我喜欢白色的，但不喜欢这个样式,0,2019-10-07 22:38,1
@勤力的小Bee,,老子用華為 雨我無瓜,2,2019-10-08 00:24,1
@林闪闪闪,,香,1,2019-11-01 13:55,3
@FlanneryZheng,,不买衮,1,2019-10-08 02:37,1
@越越的OrangeC,,2代刚丢，连盒一起丢得很彻底,1,2019-10-08 01:51,1
@2331爱哭的毛毛虫,,苹果上架港独app是真的吗？,1,2019-10-08 00:45,1
@我会下鹅蛋,,首先我没钱，其次我真心不知道为啥这玩意这么贵,1,2019-10-07 23:21,1
@无力行67184,,APP解释一下,2,2019-10-07 22:56,2
@heartow,,私我我有,0,2019-10-11 14:28,3
@理直气壮的Jenny,,等金色。,0,2019-10-10 12:55,3
@bob_tan,,投是投了，买是不会买的,0,2019-10-08 09:46,1
@lai疯,,新浪没想到也是实打实的舔狗，,0,2019-10-08 09:08,1
@正在网上冲浪的鱼,,都不喜欢 丑爆了,0,2019-10-08 09:07,1
@夕夕小姐,,不买,0,2019-10-08 08:39,1
@正在務農的外星人,,我参与了@新浪科技 发起的投票【你喜欢哪款颜色？】，我投给了“白”这个选项，你也快来表态吧~,0,2019-10-08 08:37,1
@柠檬味-葡萄,,可以有不喜欢的选项吗？,0,2019-10-08 08:12,1
@青春健康正能量,,你被苹果公司收买了吧，调查数据呢往这？,0,2019-10-08 08:10,1
@我烊的主场,,不好看呐,0,2019-10-08 07:20,1
@简塑木制,,选了白色，但是也喜欢黑色,0,2019-10-08 07:16,1
@C鹏飞p,,劳资又不买，干嘛要投票？,0,2019-10-08 07:09,1
@大宝家有了大宝贝,,喜欢你马哥币，挣了八景的新闻不推，就会退这么些玩意,0,2019-10-08 06:55,1
@不玩Wb的哇牛,,莫雷道歉！,0,2019-10-08 06:54,1
@圈内扒爷_,,太丑了....(是个颜控),0,2019-10-08 06:52,1
@小师妹救我,,买你大爷,0,2019-10-08 06:10,1
@你不能只是吃啊,,怎么没有都不喜欢的选项,0,2019-10-08 04:17,1
@庞瀚辰是思琳的,,现在看：真丑-买了后用了后：真香,0,2019-10-08 02:17,1
@大大瑶LIU,,抵制,0,2019-10-08 01:42,1
@衡山--,,评论,0,2019-10-08 01:35,1
@重新来吧123,,滚！收黑钱为苹果港毒说话！,0,2019-10-08 00:06,2
