User,Reter,Comment,Votes,Time,Count
@啊林今天看书了嘛-,,我觉得我飘了，竟然想rua狮子了,7994,2019-10-08 21:01,2
@年糕火锅丸子,,小时候你看它萌萌哒，长大后它看你萌萌哒,5499,2019-10-08 21:03,1
@抓住锦鲤的小尾巴o,,哇塞，好萌好漂亮，好想摸摸,3792,2019-10-08 20:59,1
@NICKYSYAqu,,抱回家一只使劲撸,1879,2019-10-08 21:12,1
@爱把山瓢莫笑我,,好可爱呀,1077,2019-10-08 21:01,1
@小思少女,,哇哦,595,2019-10-08 22:23,1
@青柠凉兮,,我是济南人感觉很骄傲啊,625,2019-10-08 22:16,1
@长大后我终于成了精,,我耳朵可能有问题了，听第一遍竟然听成了一对双胞胎白痴……,496,2019-10-08 22:01,1
@涟漪雪柳,,小可爱！快乐成长！,321,2019-10-08 21:00,1
@四川共青团,,好想抱抱,234,2019-10-08 21:04,2
@是姜离Ya,,真的好可爱吖！祝福它们健健康康快快长大,132,2019-10-08 20:59,1
@黑芝麻汤圆甜甜哒,,展博士想要的小白狮子,115,2019-10-08 21:06,1
@神奇海兔,,好可爱啊，想rua,79,2019-10-08 21:08,1
@笨江鱼,,来啊偷小狮子啦快点来展喵喵@季肖冰,51,2019-10-08 21:08,1
@简单JS生活,,里斯本,45,2019-10-08 21:04,1
@尝乳,,想当宠物养,38,2019-10-08 21:00,2
@張猴子的李大白,,小时候你看它萌萌哒，长大后它看你萌萌哒,16,2019-10-08 22:04,2
@二十和小怪兽和好了,,我家有熊猫,21,2019-10-08 21:08,1
@小五的故事199305,,哇哦,14,2019-10-08 21:10,7
@·__南厢夕辞,,好萌好可爱啊，祝愿它们平平安安快快乐乐的长大,18,2019-10-08 21:00,4
@瀞儿MM,,这分明是两只猫,8,2019-10-08 21:53,1
@我是你彭于晏得不到的女人,,看成了双胞胎白痴,7,2019-10-08 22:49,1
@啵啵家的渺欣,,太可爱了吧,10,2019-10-08 21:00,1
@温温LHH,,小时候可爱喔,8,2019-10-08 20:59,1
@五月之戀二零零五,,哇！我好像喂過他們的媽媽！從小窗口裡扔進去肉那種。,5,2019-10-08 21:05,1
@LOVE北巷思婳雨,,我差点以为它们是比熊呢,2,2019-10-08 21:08,1
@Hello路尘冉,,大白猫,2,2019-10-08 21:04,1
@超可爱的大黑,,想撸大喵喵(づ ●─● )づ,2,2019-10-08 21:00,1
@幽迷墨於_,,好想抱抱，加一,1,2019-10-17 21:49,1
@看见山东,,我来的晚了 还有位置嘛,1,2019-10-09 09:57,3
@你就是我手心里的大宝,,好可爱鸭,1,2019-10-09 09:42,1
@一束光光啊,,哈哈哈哈哈哈开始以为是北极熊之类的，好可爱啊,1,2019-10-09 09:31,1
@慌学,,我膨胀了我觉得我可以养,1,2019-10-09 09:15,2
@三个木叫啥,,看完我居然想养狮子,1,2019-10-09 09:12,1
@又不能用的名字啊,,里斯本！！！猫儿想要的小白狮！！！,1,2019-10-09 09:06,1
@橘里奈-,,表示刚从济南回来,2,2019-10-09 07:01,1
@小胜解说,,,1,2019-10-09 01:41,1
@桃皮桃肉桃核儿C-POP,,啊啊啊啊啊啊啊啊啊啊啊啊啊好可爱哦,2,2019-10-09 01:34,1
@百里苏苏丶丶,,这也太可爱了吧,1,2019-10-09 01:25,1
@冇柒姑凉的胡同小巷,,好可爱啊 真想摸摸它,1,2019-10-09 01:10,1
@李小暉,,平安快乐健康的长大,1,2019-10-08 22:55,2
@李最甜ing,,祝福，愿健康成长,1,2019-10-08 22:42,1
@艺伎回忆录w,,哇啊啊啊啊啊啊啊我啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊   我好喜欢啊啊   可以给我一只吗？？？？ 我可以！！！！，！，！，！，！，！，！，！，！,2,2019-10-08 22:39,3
@晛時里的瞳話,,我居然想摸它！,2,2019-10-08 22:33,1
@乾坤未定你我皆是王夫人X,,好可爱啊！突然想拥有一只,1,2019-10-08 22:19,1
@藤蓏花落,,我想问一下这个能领回家吗？,1,2019-10-08 22:18,2
@珍是个幼稚鬼,,好可爱啊，想摸一下,1,2019-10-08 22:16,1
@扫眉才子笔玲珑,,我以为热搜是“济南出生率罕见下跌”,2,2019-10-08 22:13,2
@黑羽快斗官方小女友,,嗷呜！～～～（噢…错惹…咳咳）吼！！！～～～,1,2019-10-08 22:13,1
@L1nmy啊,,好可爱呀,0,2019-10-08 22:12,1
@广元博聚,,我还以为是北极熊,1,2019-10-08 22:10,1
@南瓜味的小橙子,,好可爱,1,2019-10-08 21:05,1
@阿花花花_Y,,好白好可爱 想摸,2,2019-10-08 21:03,1
@人类绝望的样子还真是可爱呢,,想看可爱的小东西嘤嘤嘤,3,2019-10-08 21:02,2
@赵烨磊的小宝贝,,好萌好可爱,2,2019-10-08 21:01,1
@人类绝望的样子还真是可爱呢,,太可爱了,1,2019-10-08 21:00,2
@王冠和皇冠,,叫声好像小羊,2,2019-10-08 21:00,1
@搞bot,,可以当宠物吗,1,2019-10-08 21:00,2
@景年思华年,,软乎乎,2,2019-10-08 20:59,1
@地西泮氯氮卓,,好！可！,1,2019-10-08 20:59,1
@XnomX,,太可爱了趴,1,2019-10-09 07:51,1
@一颗懒羊羊,,太可爱啦,1,2019-10-09 07:50,1
@Camillekiko,,又想骗我养大猫,1,2019-10-09 07:44,1
@那个人像条狗--Erge,,小时候你看它萌萌哒，长大后它看你萌萌哒,1,2019-10-09 00:28,1
@头戴紧箍咒,,我一直以为这种白狮白虎是普通狮子老虎得了白化病的原故,1,2019-10-08 23:45,1
@颜映的dream,,可可爱爱 健康成长,1,2019-10-08 23:05,2
@西西的甜品,,所以说我觉得动物饲养员真的好幸福,1,2019-10-08 22:38,1
@有有·,,@莹白的雾气 好可爱,1,2019-10-08 22:30,1
@小huang儿呀,,小可爱,1,2019-10-08 21:12,1
@今日毛毛雨,,哭哭这也太可爱了啊,1,2019-10-09 08:15,1
@Dear-鱆婌荺,,@小狮子喝阔乐 比你可爱，,1,2019-10-08 22:56,1
@韩小振古蹲着巧使的慌,,去过一次济南野生动物园 感觉他们在刻意培育白虎白狮金虎什么的 根本不知道什么地域型什么亚种什么种了 只能博眼球对野生动物保护没什么卵用@花落成蚀 @开水族馆的生物男,1,2019-10-09 09:34,1
@卢三歲,,想养,1,2019-10-09 08:52,1
@唐念_do,,怎么有点像李荣浩的亚子,1,2019-10-09 08:42,1
