User,Reter,Comment,Votes,Time,Count
@幽篁君,,让你想着红，这下黄了吧，封得好,11625,2019-10-09 13:10,4
@久酒迷醉,,有个主播骂汉族是狗，开直播抽烟漏胸，快手叫娜美,8686,2019-10-09 13:43,1
@郑爽张恒分手没有,,让你黄，现在真的黄了吧,5245,2019-10-09 13:08,5
@性科普bot,,建议强奸犯加刑到八年,2791,2019-10-09 13:08,10
@别吻我臭流氓,,真的要严惩，搞得我现在都不敢去看，眼睛都辣瞎了。我好端端的一纯洁少男，蛮怕被他们玷污思想。,2599,2019-10-09 13:33,7
@宇宙男德,,不守男德的下场,1988,2019-10-09 13:10,2
@袁学1987,,还应该把那些骗钱的主播封杀了，把那些勾引别人老公心术不正的主播封杀了,1319,2019-10-09 13:27,2
@紫罗兰sunlight,,希望把那些八卦自媒体也禁了,1173,2019-10-09 13:37,1
@一只爱投资的小哥哥,,,1053,2019-10-09 13:38,9
@仰泳地羊,,卢本伟牛逼,785,2019-10-09 14:02,1
@wqf发哥,,快手主播娜美开直播当着几万人骂汉族人是狗，是日本人后代，当众脱衣服，抽烟等等！建议快速封杀，这种人颠倒青少年三观,115,2019-10-09 17:09,1
@千城暮雪ks,,现在好多主播和电商狼狈为奸，电商刷礼物少则几万，多则几十上百万，这些钱羊毛出在羊身上，最后还得粉丝来承担！电商暗地里抬高价格，消费的是粉丝！,101,2019-10-09 13:55,1
@南开历史系预备研究生,,乔碧萝在哪,88,2019-10-09 13:34,1
@大芬儿大芬儿,,还网络一片净土,76,2019-10-09 13:10,8
@溪山行旅不耗蓝,,请把斗鱼每天夜里热舞的女主播封了吧，我儿子已经废了,92,2019-10-09 14:46,1
@_璨若星辰Star,,这都是些啥几把主播啊,27,2019-10-09 14:08,1
@温七安,,一个都不认识(=_=),27,2019-10-09 13:44,13
@请尼离开,,为啥不封虎牙寒夜呢,16,2019-10-09 15:27,1
@7小彩侠,,为什么不永久？,16,2019-10-09 13:49,1
@二次元教父你虎哥,,拉斯特炫神,34,2019-10-09 13:39,1
@為愛上色,,应该封掉整个直播行业，让想不劳而获的人死心,20,2019-10-09 15:53,1
@小果冻老五,,没有散打，方丈，仙洋，辛巴我不服,17,2019-10-09 15:25,2
@Zing1205,,终身更好[加油],16,2019-10-09 13:08,1
@清晨与你阿,,我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢我龙哥呢,17,2019-10-09 16:35,1
@榊櫇空间,,5年哪里够啊，不严惩哪里来的威严，还能管的么？,18,2019-10-09 13:18,1
@Implementman,,@shinyruo开始了 若子哥你没事吧？,16,2019-10-09 13:38,1
@准时不早退的文科状元,,山泥若天天赌，咋不给封了啊？,10,2019-10-09 16:33,1
@幕若倾城feng,,没有方丈，辛巴我表示不服,16,2019-10-09 15:34,1
@執_執,,一个都不认识,7,2019-10-09 19:13,2
@沐子老师-爱生活,,挺好的一个互联网行业被弄的乱七八糟的，为了挣钱，一些主播可以低俗无下限。其实平台什么都知道，但为了挣钱假装没有看到，从而也鼓励了歪风邪气的蔓延。建议治理这些老鼠屎的同时，那些传递正能量的主播也应当给予认证，并给与资源支持大力推荐。,15,2019-10-09 16:12,3
@常岩强,,我咋没发现，哪个平台的事儿,11,2019-10-09 13:21,1
@郑芳菲Style,,才42个，太少了，直播这种的成千上万,6,2019-10-09 16:11,1
@我先去上海,,赶紧把快手封了吧,10,2019-10-09 16:01,1
@炒股不如炒饭20190517,,"感觉没啥用,换个平台又 可以了...",6,2019-10-09 14:15,1
@喜欢追女团的小奶狗,,其实男女相对平等很多，男女在性上面犯罪都有，有的男人会不尊重异性，没有羞耻心不自爱猥亵性骚扰偷窥偷拍女的，女的也有不尊重异性，没有羞耻心，不自爱的，比如那些做色情主播的，还有发色情卖身广告的女人。当然我觉得那些在性上面犯罪的男人更可恨，对异性是更直接的伤害，受害者受到伤害更大。,5,2019-10-09 14:06,3
@松花酿酒春水煎茶1128,,惩罚的好 现在太多未成年人都是懵懂状态 被他们带坏了三观看法  成年人也更需要正能量,8,2019-10-09 13:47,1
@iBingo,,乔奶奶呢？,6,2019-10-09 14:07,6
@kcy109,,卢本伟牛逼,12,2019-10-09 14:36,1
@CXJ77777777,,是不是都是些闲出屁的人，才会没事儿看直播？,7,2019-10-09 14:16,2
@FIXMAN菲克斯曼工具,,虽然不认识，但是这种的禁播也好,4,2019-10-09 14:40,3
@两个耳朵宝贝,,所以干什么都要遵守规则,2,2019-10-09 14:18,1
@超级萌的怪兽史瑞克呢,,让你想着红，这下黄了吧，封得好,4,2019-10-09 13:13,11
@一副不怕脏de白手套,,太少了，继续，网络直播就应该清理一下～,1,2019-10-09 19:32,1
@原来是念初吖,,快手有个主播叫方丈打架，赌博露纹身为啥不封杀,6,2019-10-09 17:26,1
@北城_Eve,,快手有的地区主播自己制作化妆品售卖，简直胡闹,3,2019-10-09 16:55,4
@涂抹成茶,,没一个认识的,5,2019-10-09 13:38,1
@张自摸,,捷信高利贷，连国家的监督机构都不敢管，而且还踢皮球一样到处踢，打电话报警，投诉到银监会，深圳银监会推给天津，天津警察局推给深圳警察局。。。打天津银监会电话，打进去没人接，要不就在通话。,14,2019-10-09 13:08,1
@一羽归尘,,谁能把黛初夏封了，受不了了,1,2019-10-09 14:29,1
@我为摩羯座代言,,支持,1,2019-10-09 14:22,1
