User,Reter,Comment,Votes,Time,Count
@硫磺岛的来信_,,看的时候真的觉得好感动现在看了评论要笑死,119,2019-10-09 17:03,1
@彦倾橙,,这个效果太逼真了！ 评论配图,49,2019-10-09 17:02,1
@山哈女孩,,哈哈哈哈哈哈笑得停不下来了 评论配图,25,2019-10-09 17:03,1
@妈妈说我是一只喵喵,,#如果吴京演中国机长# 那我肯定不知道要去刷多少遍了,20,2019-10-09 17:04,2
@吴所谓拉x,,#如果吴京演中国机长#我觉得也敲击棒啊！ 评论配图,24,2019-10-09 17:03,1
@孟婆来桶忘情水,,那飞机上肯定没有人敢嚣张了,18,2019-10-09 17:06,1
@冷烟茶,,网友们太优秀了 评论配图,9,2019-10-09 17:03,1
@吃吃吃吃吃货的弟弟,,#如果吴京演中国机长# 难以想象啊,4,2019-10-09 17:04,1
@邕姮,,#如果吴京演中国机长#快要死在评论区了,2,2019-10-09 17:06,1
@溜溜的南瓜,,#如果吴京演中国机长# 效果一定也不错！,1,2019-10-09 17:05,2
@新新新玥玥,,#如果吴京演中国机长#这个可以有,1,2019-10-09 17:40,1
@做个温柔人叭,,#如果吴京演中国机长#可以想象一下,0,2019-10-09 17:15,1
@爱玩蛇的嫦娥,,#如果吴京演中国机长#那票房起码又会涨涨涨 评论配图,1,2019-10-09 17:09,1
@Nancy的小木瓜,,哈哈哈哈，真的肚子都笑痛了,0,2019-10-09 17:08,2
@沉沉不想胖嘟嘟,,哈哈哈评论笑死我,0,2019-10-09 17:04,2
@欧欧的猪猪女孩,,啊哈哈哈哈哈哈哈哈太可爱了,1,2019-10-09 17:15,3
@米子脆,,这评论怎么这么搞笑啊,1,2019-10-09 17:08,2
@走路有点滑,,#如果吴京演中国机长# 真的是太搞笑了吧，不过应该不会错,2,2019-10-09 17:07,1
@吹风的小妹,,这个真的能把人笑死在评论区,1,2019-10-09 17:05,1
@鹏程万里宝,,#如果吴京演中国机长#那会是什么样的效果，我也挺好奇的呢,1,2019-10-09 17:04,2
@矫情不存在,,哈哈哈有点搞笑,0,2019-10-09 17:36,1
@靓仔很懒,,#如果吴京演中国机长#哈哈哈哈哈笑到爆炸,0,2019-10-09 17:05,2
@黄蜀郎鸡公煲,,风挡说：冷锋大哥 我不碎了,0,2019-10-10 08:50,6
@骑着蓝西瓜,,哈哈哈哈哈哈哈哈哈哈哈哈我豪不要面子的,0,2019-10-09 18:54,1
@曼丽Manni,,哈哈哈哈哈@少年拾柒 笑疯了,0,2019-10-09 18:49,1
@阳光彩虹糖糖,,越看越像岳云鹏,0,2019-10-09 17:51,1
@粒粒小麦·Yomi,,哈哈哈哈哈哈哈哈哈评论要笑死我,0,2019-10-09 17:50,1
@有机一大鹅,,@Lynn_笑怡 @人间布歇,0,2019-10-09 17:45,1
@暖暖鱼儿-,,@爱暖暖的木木 哈哈哈哈,0,2019-10-09 17:27,1
@我已经吃不下了啊,,@我是小猪蓝蓝,0,2019-10-09 17:25,1
@一株铁树阿阿阿阿,,@乌云困了 哈哈哈哈哈,0,2019-10-09 17:20,1
