User,Reter,Comment,Votes,Time,Count
@性科普bot,,看美剧学英语吧，还有翻译软件也不错，如果不是特别需要，出国旅行什么的，自学简单英语就好了……花钱要花去正规大学培训班,69,2019-10-09 12:59,10
@番茄炒扯蛋,,为什么，我从学英语当中体会不到快乐呢，我只喜欢标准普通话发音，每天听相声、评书、故事，喜欢捕捉这些美妙的声音。,44,2019-10-09 13:07,2
@惡魔獵手丶,,那么多学费直接卷款跑路？不退钱？,41,2019-10-09 13:00,1
@广编2班黄同学,,为啥教育机构都能混不下去？为啥？,26,2019-10-09 13:17,1
@郑爽张恒分手没有,,建议网易有道词典了解一下，免费的,16,2019-10-09 13:01,5
@大老客大大,,预付费机构都充满风险，其实这也可以归结为投资风险的一部分，因为教育就是时间、精力、脑力与财力的综合投资。,17,2019-10-09 13:03,2
@米小若Cindy,,5月9月上海的朗恩巧恩儿童英语一夜间10几家店全部关门跑路，初步统计金额几个亿呢！这么长时间了还不是没人管！接下来跑的多呢！,16,2019-10-09 16:15,1
@高飞他爹,,还剩英孚了？,8,2019-10-09 13:46,1
@一直在减肥从未瘦过,,天津韦博也关门了，所有的店都关了,10,2019-10-09 13:48,1
@南木巷,,看来投资什么去了，赔了，,11,2019-10-09 13:25,1
@充电宝啊加把劲儿啊,,北京这边都停了，不知道该怎么办，派出所工商也只是登个记，只能等，等人家良心发现,13,2019-10-09 13:17,1
@KarYinfei,,学语言真的没有必要花太多的钱,8,2019-10-09 13:04,1
@奥拉万物,,深圳也停了,6,2019-10-09 13:03,1
@-Sobeeeer,,韦博就是个大坑，当时那里的销售吹的天花乱坠，花了我快2W报了三个阶段的班，没想到那里面的教学质量真的只能唬唬小孩吧，而且后来全都是亚裔老师了，上了一年半销售跟我说学的时间超时了要补钱，一开始根本没说过还有时间限制，我果断不学了！！,6,2019-10-09 15:22,1
@Hai_Tucker,,若干年前脑袋抽风去韦博咨询过。测试面试，一顿操作猛如虎，一问学费五万五。国内教育产业良莠不齐，可怜那些想让孩子学英语却白浪费钱的家长。花几万块听一个在国外有犯罪前科的人放电影？？花钱玩手机？有很多新兴的互联网云平台能和native speakers交流，甚至免费，别再唯机构论了。,7,2019-10-10 10:17,1
@外向孤独症患者---,,政府怎么就不管管。有心思跟nba较真。自己老百姓的血汗钱就摸不吭声。啧啧啧,17,2019-10-09 13:52,1
@是辣条阿,,哦豁，这都跟着陈院长学去吧,3,2019-10-09 13:02,1
@W_MeiCHen,,银石受害者。韦博倒闭，但是我还有2万多的贷款。教育培训贷款的同学有很多，大家又不能不还贷， 影响征信。预计至少成都有800学员，每个人少说算20000万，金额也不少了。这还没有算全国的。前几天还在收学生，有些人课都没有上，学校就关门了。现在教育行业这样，政府又不管，我们真的不知道怎么办了。,7,2019-10-09 16:36,1
@CHOK_CYJ,,说实话真的看不惯在学校以外搞教育的。,5,2019-10-09 13:14,1
@IR-Rock-Movie-Book-Girl-Flower,,学费那么贵 居然还办不下去了？？,3,2019-10-09 13:59,1
@喵耳朵卷卷,,现在每天都有这种培训班倒闭，没钱的消息，关键还不是找谁谁都不管造成的么！,5,2019-10-09 13:21,1
@我丢了一只心爱的狗,,霸王条款，现在如果想要退费怎么办呀,3,2019-10-09 14:09,1
@贼啦好玩,,跑路是培训行业唯一盈利方式？,4,2019-10-09 13:22,1
