User,Reter,Comment,Votes,Time,Count
@剧透十三郎,,玉檀是我的童年阴影了,2444,2019-10-09 16:45,5
@诗暖·love诗步狮,,我是曦狮党 评论配图,2082,2019-10-09 16:50,2
@维尼2诗,,我喜欢十三爷和十四爷,2754,2019-10-09 16:45,2
@拥挤的心h,,只有我觉得吴奇隆又老又丑毁了这剧吗？,1895,2019-10-09 16:38,2
@剧透十三郎,,我是坚定站四爷的,1038,2019-10-09 16:23,5
@热心市民张马尾,,若曦爱谁我爱谁,923,2019-10-09 16:43,2
@剧透十三郎,,为若曦流过好多好多泪,924,2019-10-09 16:17,5
@懒懒小云,,与雪结缘的女子-刘诗诗 评论配图,560,2019-10-09 16:46,2
@triangel-regenbogen-4ever,,看一次哭一次，忠实的四爷党,394,2019-10-09 16:20,2
@篱叨叨,,若曦党,177,2019-10-09 16:45,2
@剧透十三郎,,：我是@剧透十三郎，  不吃瓜只追剧，追星帖子常安利！我认你做大哥喊你做姐姐，你给我投稿点赞阔以吗,7,2019-10-09 16:16,5
@湖说八道新闻,,武林外传必须拥有姓名,157,2019-10-09 20:11,2
@已二字开头,,恶作剧之吻,167,2019-10-09 19:21,2
@发家致富,,父母爱情，琅琊榜，,133,2019-10-09 18:41,2
@Sherry旧日,,一到冬天就开始看步步惊心,105,2019-10-09 17:42,2
@驼背真的很舒服,,琅琊榜,120,2019-10-09 17:45,2
@66阿好,,《何以笙箫默》,118,2019-10-09 18:04,4
@陈老师最爱吃青芒果加辣椒盐,,唯有《还珠格格》。,95,2019-10-09 18:05,2
@小小su的天空,,坚定的十四若曦党,91,2019-10-09 17:02,2
@美味蟹黄堡的配方,,喜欢13，很真心的朋友,71,2019-10-09 16:48,2
@sq小妞,,我天，竟然是电视剧微微一笑很倾城,57,2019-10-09 19:01,2
@好吃的清蒸鱼yu,,十四曦,54,2019-10-09 17:48,2
@凉面条儿,,国庆的时候我还在为若曦流泪,42,2019-10-09 19:49,2
@法式榴莲焗香菜,,家有儿女 武林外传 爱情公寓 天下第一,47,2019-10-09 18:22,2
@為誰舞傾城,,三生三世十里桃花,63,2019-10-09 18:54,2
@耶啵是甜甜哦,,看步步惊心真的没有多少个人会喜欢四爷， 除了女主,49,2019-10-09 17:47,2
@chenyinghello,,十四爷党,37,2019-10-09 17:44,2
@高高高高高大攀,,亮剑 我就不多说什么了,33,2019-10-09 20:22,2
@我是超级无敌美少男hhh,,恶作剧之吻,35,2019-10-09 18:57,2
@日出丨,,鬼怪啊,39,2019-10-09 17:40,2
@佛系的夏忆,,微微吧，虽然已经不喜欢郑爽了，剧还是好剧,37,2019-10-09 18:33,2
@聆听天空的云,,父母爱情父母爱情,16,2019-10-09 22:44,2
@一代小僧,,,39,2019-10-09 19:46,2
@妲己是只小狐狸7,,请回答1988,30,2019-10-09 18:47,2
@忘羡cps,,步步惊心 陈情令 十里桃花 ,25,2019-10-09 19:14,2
@佳健程除开平方,,我就是墙头草那种。开始若曦和八爷谈恋爱我就是八爷党，后来和四爷谈恋爱我就是四爷党，最后四爷一系列神操作再加上十四爷这么体贴就变成十四爷党了,16,2019-10-09 21:24,2
@玻璃熊s,,步步惊心，还有何以笙箫默,10,2019-10-09 17:44,2
@只吃巧乐兹,,琅琊榜,15,2019-10-09 18:40,2
@xi-yi-ao悦,,何以笙箫默,15,2019-10-09 18:56,2
@麸丕777M,,前期八爷党，后期四爷党，最后十四,3,2019-10-09 23:35,2
@阿景er_,,琅琊榜，奋斗，恋爱的发现，刷了三遍以上。,2,2019-10-10 00:08,2
@叫我机智1号,,微微一笑很倾城，第十集,4,2019-10-09 23:24,2
@博君一肖我可以105805,,陈情令，完整十三刷，虽然是新剧，出不来,8,2019-10-09 20:28,2
@念奴娇baby11,,站四爷啊！有城府有谋略又坚定地爱若曦保护若曦,6,2019-10-09 20:43,2
@景澜阿JUN,,看一遍哭一遍啊！神虐 评论配图,3,2019-10-09 23:56,2
@借予朝暮,,四爷党在此,10,2019-10-09 18:46,2
@海是一片清晰的蓝,,何以笙箫默,12,2019-10-09 18:40,2
@一颗仙女琳,,台版恶作剧之吻！！不是很爱看电视剧，但是这部剧我看了三四遍！！,3,2019-10-09 23:48,2
@故事的小黄花-initial,,早几年就是仙剑三 在早几年就是天外飞仙和家有儿女 再早一些就是猪八戒和齐天大圣各种系列以及雪花女神龙和八大豪侠（弱弱的说一句欢天喜地七仙女也看过很多遍,3,2019-10-09 23:28,2
@蔺淼er,,目前……陈情令,2,2019-10-09 23:21,2
@冲击空气,,一起来看流星雨 看了好多遍  都现在仍旧听见拾忆前奏就想哭,6,2019-10-09 22:54,2
@高七七丶,,现在哪里能看啊 我怎么找不到资源,1,2019-10-09 17:52,2
@口牙七,,当时看这个剧只觉得这女的怎么一下喜欢这个 一下又跟那个暧昧 不是穿越来的吗 搞得比古人还古人,2,2019-10-09 23:08,2
@滴滴滴滴小的大姑娘,,韩版花样男子,5,2019-10-09 19:26,2
@骄傲且傲娇,,请回答1988,8,2019-10-09 17:54,2
@焦迈奇的小太阳cc,,豪杰春香,1,2019-10-10 05:03,2
@麋兀森林,,琅琊榜必须榜上有名我看了二十多遍了就是看不够,2,2019-10-10 02:45,2
@楊小将将166,,宫廷剧没什可看的，一个个的网红脸,1,2019-10-10 02:43,2
@嘉哥糖,,武林外传,1,2019-10-10 02:00,2
@七月長安是个小刺猬啊,,何以笙箫默,2,2019-10-10 01:58,2
@冷毒蛇i,,前几天才重刷完 评论配图,1,2019-10-10 01:03,2
@你算哪根小火柴,,每年假期必刷啊  ,1,2019-10-10 00:16,2
