User,Reter,Comment,Votes,Time,Count
@_______泽凯__,,渣浪就是渣浪，撤热搜，这边还给苹果宣传,6788,2019-10-09 18:03,2
@水寒心成冰,,港独app？,5144,2019-10-09 18:20,2
@今天的晚安呢,,苹果支持港毒， 苹果手机商店上架了一款App，该软件会实时显示警察所在的街区， 成为乱港暴徒对付港警的工具。,3350,2019-10-09 18:22,17
@黑色幽默forever,,笑死我了，这点就直接热搜，港独APP上万的那个毛都见不到，这也太现实了，明罢着我就是这样，你又弄不死我，你能咋滴，还不是乖乖用我的,2647,2019-10-09 18:24,4
@我是迷路的木子洋洋,,还有用苹果的？用苹果人的太low了,1002,2019-10-09 18:10,15
@HNB190204,,凸出，戴个壳就完事了,467,2019-10-09 17:50,2
@我是迷路的木子洋洋,,空降热搜有完没完啊，或，可能，也许，这些字眼看烦了，我说个新闻，苹果或将倒闭,460,2019-10-09 18:09,15
@为了换名字等了一年,,别问，问就是华为给苹果买正面热搜,237,2019-10-09 18:30,2
@心之际离,,几十个评论上热搜。？？？,258,2019-10-09 18:25,2
@很强的潘,,聊一下港毒版APP?热搜?撤?,240,2019-10-09 18:30,2
@七月熹丨雨,,23条评论的热搜？？？,146,2019-10-09 18:20,2
@B612上的初心,,渣浪还没删人民日报的博文啊  转头就给苹果做宣传,137,2019-10-09 18:44,2
@密西西比河以西,,在？某港APP撤热搜？共青团人民日报都通报还藏着掖着？,83,2019-10-09 18:23,2
@千_北岛,,手机做厚一点可破,24,2019-10-09 17:51,2
@難教,,这年头还有憨批用苹果吗,37,2019-10-09 18:36,3
@居老师叫我好好学习,,港独app遭人恨啊,39,2019-10-09 18:27,2
@狡猾的海拉鲁人,,你底怎么办，底大必厚,24,2019-10-09 17:47,2
@GY谷杨朦着眼睛,,渣浪我看你是想倒闭,20,2019-10-09 18:46,2
@Olafyou,,禁止苹果和全世界断交,11,2019-10-09 18:46,2
@i阿飞飞飞飞飞飞飞,,尴不尴尬 25条评论的热搜..,23,2019-10-09 18:20,2
@今天的晚安呢,,爱凸不凸,17,2019-10-09 18:13,17
@JoneWee,,喜欢不凸起的摄像头。,11,2019-10-09 18:05,2
@李凯198204,,@来去之间 ,2,2019-10-09 18:41,3
