User,Reter,Comment,Votes,Time,Count
@巴拉拉肖,,我觉得他笑得好可爱，小时候老喜欢他演的济公了,4089,2019-10-10 14:31,2
@梁一尧,,童年回忆啊哈哈 电视剧形象很深,1749,2019-10-10 14:27,3
@蔓蔓长歌,,愿游老先生身体安康,1572,2019-10-10 15:15,2
@ShangZe啊,,老爷子真的潮 评论配图,752,2019-10-10 14:25,2
@A余诗颖,,太可了！游本昌摇着破扇子太有济公的感觉了,452,2019-10-10 22:10,2
@iimConyCC,,太可爱了吧,291,2019-10-10 14:13,2
@裸奔的小狮子泉,,哇，好看,176,2019-10-10 14:16,2
@峨眉大侠胡芦子,,图五好温柔，好慈祥啊,73,2019-10-10 17:28,2
@喵不在家,,游老状态好好,33,2019-10-10 15:55,2
@胖头鱼刺卡到嗓子眼了,,好可爱！,33,2019-10-10 14:35,2
@陆陆yf,,童年回忆，希望老爷子身体健健康康，笑口常开,31,2019-10-10 16:44,2
@兔兔tomorrow,,呜呜呜  回忆啊,15,2019-10-10 19:11,2
@天府女,,还是那么帅,18,2019-10-10 16:19,2
@RuoHeZZ,,,1,2019-10-12 11:27,2
@二又土de歪叻祢,,,0,2019-10-12 10:47,2
@迷妹臭屁大精灵,,老爷子真潮,0,2019-10-12 08:15,2
@子小小猫,,好可爱的老爷子,0,2019-10-12 08:01,2
@zxcvbnm05627,,小时候喜欢他演的济公,0,2019-10-12 00:18,2
@花花的世界我最flower,,可爱,1,2019-10-11 20:06,2
@妖群主丁丁董,,,1,2019-10-11 19:20,3
@寒夜枫曲,,老爷子好潮好时尚！童年的记忆,1,2019-10-11 19:18,2
@今天是有事发生_Grace,,啊啊啊啊啊啊啊啊啊啊济公师傅也太快了吧！啊，太可爱的老爷爷了!@star-月月呀,1,2019-10-11 17:44,2
@邵邵1991,,童年的回忆呀,1,2019-10-11 15:59,2
@灯火燃成的篝火,,老爷子很精神,1,2019-10-11 15:52,2
@MOKO雪儿,,这太可爱了吧 祝老爷子福寿安康～,1,2019-10-11 15:34,4
@胡乱歌唱紫因有你,,游老好可爱，童心未泯,2,2019-10-11 15:09,2
@Echo·Yang,,其实老爷子演的济公是我童年噩梦来着，但是演员是个好演员,3,2019-10-10 14:53,2
@苏不爱素,,寿比南山,2,2019-10-12 10:04,2
@狗崽崽的肖老师,,祝老爷爷身体健康,2,2019-10-11 08:09,2
@正果大,,老先生30年前就这形象，真的一点没老,1,2019-10-12 15:09,2
@我Si大白兔,,笑的真好,1,2019-10-12 11:20,2
@星妮儿儿,,太可爱了,1,2019-10-12 07:59,2
@清奇冷艳,,哇，济公爷爷,2,2019-10-11 21:44,2
@奔跑吧-胖妞,,爷爷状态真的棒棒哒,1,2019-10-11 19:24,2
@Pam不要喝珍珠奶茶了,,很好看诶,1,2019-10-11 18:01,2
@瘦了20斤的xxn,,小时候的记忆呀,1,2019-10-11 11:20,2
@如意小宝668,,天啊，图三的不倒翁娃娃我也有～加上济公，真真童年回忆了,1,2019-10-10 23:25,2
@小赞的宝贝坚果Ac,,安康,1,2019-10-10 23:13,2
@不二小哥哥,,童年的记忆啊，炒鸡可爱的老爷爷啦,1,2019-10-10 15:55,2
@小熊vs洋葱,,好可爱,0,19-10-13 11:35,2
@峰火连天不及你,,打卡,0,19-10-13 10:27,2
@故里归于长安,,老爷子笑起来好可爱啊,0,19-10-13 00:23,2
@No95xx,,一副乐呵呵的样子，祝老先生健康长寿！,0,19-10-13 00:12,2
@Monkey-Doug,,笑容真亲切,0,2019-10-12 23:56,2
@杰西卡刘霞,,还是那么可爱,0,2019-10-12 21:17,2
@盛夏-浅谈,,愿健康长寿,0,2019-10-12 21:09,2
@井佚在此,,太可爱啦,0,2019-10-12 21:00,2
@心情的驿站wz,,我小时候最喜欢看游本昌爷爷演的济公了,0,2019-10-12 20:57,2
@用户wfxb23urq4,,,0,2019-10-12 20:01,2
@手心的太阳012,,身体安康！,0,2019-10-12 19:02,2
@Oo_Dan小胖,,小时候最羡慕的就是济公，感觉每天都有酒有肉，过得潇洒自在，酒肉穿肠过佛祖心中留，大事大非看的一清二楚，在身上搓搓泥儿竟然都是药,1,2019-10-12 16:08,2
@旅行走失的饼干,,爷爷平安健康,0,2019-10-12 15:01,2
@睡不醒的楼梯,,老可爱了,0,2019-10-12 13:54,2
@罗舞64658,,她,0,2019-10-12 11:56,2
@奇石岛,,不减当年。,0,2019-10-12 11:48,2
@者者,,我进了平行世界吗？我怎么觉得听过他已经走了的新闻。。,0,2019-10-12 11:05,2
@zhong群秀,,。,0,2019-10-12 10:32,2
@芒果味的九龄,,太可爱了吧,0,2019-10-12 10:02,2
@小珂和鬼,,哈哈,0,2019-10-12 09:56,2
@牧羊姑娘130401,,最喜欢他老人家演绎的济公,0,2019-10-12 09:00,2
@少年啦美少年,,那个后脑勺也太可爱了叭,0,2019-10-12 07:31,2
@Crysutallamp,,喜欢他怕的济公,0,2019-10-12 06:50,2
@CHAO1986-11,,祝你身体健康，笑口常开！！！！！！！,0,2019-10-12 00:55,2
@玄箫寒尘,,。。,0,2019-10-12 00:33,2
@蜜桃红茶003,,满满的回忆，,0,2019-10-12 00:28,2
@没事就爱说两句,,好可爱的老爷子！健康！,0,2019-10-11 23:28,2
@dieqs,,嗯,0,2019-10-11 23:24,2
@愚鱼雨裕,,满满的回忆，堪称经典！,0,2019-10-11 19:40,2
@今今心心念,,这长相秒杀小鲜肉了,0,2019-10-11 19:31,2
@旺大大哒哒仔,,可爱,0,2019-10-11 19:28,2
@LCLForest,,童年的一部分,0,2019-10-11 19:17,2
@嘀嘀嗒嗒笔,,！,0,2019-10-11 19:03,2
@无门的迷妹,,济公爷爷！！,0,2019-10-11 18:08,2
@__轻松熊kyx,,太可爱了,0,2019-10-11 18:04,2
